,排名,球员,球队,得分,命中-出手,命中率,命中-三分,三分命中率,命中-罚球,罚球命中率,场次,上场时间
1,1,詹姆斯-哈登,火箭,39.20,10.80-25.40,42.5%,4.90-14.30,34%,12.80-14.50,88.2%,14,36.60
2,2,扬尼斯-阿德托昆博,雄鹿,30.30,11.00-18.90,58.1%,1.40-4.30,32.1%,6.90-11.30,61.2%,13,33.00
3,3,布拉德利-比尔,奇才,30.10,10.60-23.00,45.8%,2.90-8.70,33.3%,6.10-7.40,81.7%,11,36.50
4,4,卢卡-东契奇,独行侠,29.50,9.50-20.00,47.7%,2.80-9.10,31.4%,7.60-9.40,81.1%,13,35.00
5,5,达米安-利拉德,开拓者,28.60,9.00-19.90,45.2%,3.30-9.20,35.7%,7.40-7.90,92.8%,14,38.30
6,6,凯里-欧文,篮网,28.50,10.20-22.90,44.4%,2.80-8.30,34.1%,5.40-5.70,93.7%,11,33.80
7,7,特雷-杨,老鹰,27.00,8.80-19.60,44.7%,3.20-8.60,36.9%,6.30-7.80,81.7%,12,33.80
8,7,卡尔-安东尼-唐斯,森林狼,27.00,9.20-17.90,51.2%,3.90-9.00,43.5%,4.80-6.20,76%,12,32.80
9,9,安德鲁-威金斯,森林狼,25.90,10.00-20.90,47.8%,2.40-6.60,36.1%,3.50-4.80,73.6%,11,34.70
10,10,帕斯卡尔-西亚卡姆,猛龙,25.70,9.70-20.60,47%,2.30-6.40,36.1%,4.00-4.80,82.5%,13,36.90
11,11,德文-布克,太阳,25.40,9.10-17.00,53.4%,2.50-5.10,50%,4.70-5.00,93.8%,13,34.80
12,11,布兰登-英格拉姆,鹈鹕,25.40,9.50-18.20,52.2%,2.40-5.40,44.4%,4.00-5.40,74.1%,10,32.40
13,13,安东尼-戴维斯,湖人,25.20,8.90-18.50,48.1%,0.90-2.80,29.7%,6.50-7.50,86.7%,13,34.90
14,14,勒布朗-詹姆斯,湖人,25.00,9.40-19.30,48.9%,1.90-5.60,34.6%,4.20-5.90,71.1%,14,34.90
15,15,多诺万-米切尔,爵士,24.80,9.10-19.90,45.6%,1.80-4.80,36.5%,4.80-6.00,80.8%,13,34.80
16,16,肯巴-沃克,凯尔特人,23.40,7.40-17.70,41.7%,3.70-9.30,39.7%,4.90-5.30,92.8%,13,33.50
17,17,路易斯-威廉姆斯,快船,22.10,7.10-17.00,41.6%,1.40-4.40,32.8%,6.60-7.60,86%,14,32.30
18,18,拉塞尔-威斯布鲁克,火箭,21.60,8.00-19.00,42.1%,1.20-5.50,22.7%,4.30-6.20,70.3%,12,33.00
19,19,CJ-麦科勒姆,开拓者,21.30,8.70-20.50,42.3%,2.30-6.50,36.1%,1.70-2.20,75.8%,15,37.40
20,20,德马尔-德罗赞,马刺,21.00,8.10-15.70,51.8%,0.00-0.30,0%,4.70-5.80,81.5%,14,33.80
21,21,扎克-拉文,公牛,20.90,7.40-17.70,41.9%,2.50-7.00,35.7%,3.50-4.40,80.3%,14,31.80
22,22,杰森-塔特姆,凯尔特人,20.20,7.30-18.10,40.3%,2.40-6.30,37.8%,3.20-3.90,80.4%,13,33.80
23,23,博扬-波格丹诺维奇,爵士,19.70,6.80-15.20,45.1%,2.80-6.50,43.6%,3.20-3.50,90.5%,12,32.20
24,24,安德烈-德拉蒙德,活塞,19.60,8.20-14.80,55.2%,0.00-0.60,0%,3.30-4.80,69.4%,13,34.80
25,25,杰伦-布朗,凯尔特人,19.50,7.50-15.10,49.7%,1.60-4.10,39%,2.90-3.90,74.4%,10,32.30
26,26,谢伊-吉尔杰斯-亚历山大,雷霆,19.40,7.20-16.10,44.9%,1.60-4.30,38.3%,3.40-4.30,78.3%,14,34.90
27,27,巴迪-希尔德,国王,19.30,7.00-16.80,41.7%,3.70-9.50,39%,1.60-1.90,87.5%,13,31.80
28,28,贾马尔-默里,掘金,19.20,7.10-16.00,44.3%,1.90-5.10,37.7%,3.10-3.50,88.1%,12,33.00
29,28,马尔科姆-布罗格登,步行者,19.20,6.90-14.90,46.4%,1.30-4.30,30.8%,4.00-4.10,98%,12,31.00
30,30,达尼罗-加里纳利,雷霆,19.10,5.50-12.40,44.5%,2.70-6.60,41.3%,5.40-5.80,92.6%,14,29.70
