20191030,嘉定,嘉定老城,清水颐园,29106元/m2,19套在售二手房,https://sh.lianjia.com/xiaoqu/5011000010669/,2005年建成 ,板楼,1.46至1.86元/平米/月,新城物业有限,上海清水颐园房地产有限公司,125,2093户
20191030,嘉定,嘉定老城,李园二村,26828元/m2,34套在售二手房,https://sh.lianjia.com/xiaoqu/5011000012142/,1986年建成 ,板楼,0.9元/平米/月,嘉城,嘉定房地产有限公司,149,2882户
20191030,嘉定,嘉定老城,桃园小区(嘉定),27402元/m2,31套在售二手房,https://sh.lianjia.com/xiaoqu/5011000005024/,1964年建成 ,板楼,0.2至1.5元/平米/月,九亭,九亭投资有限公司,150,3533户
20191030,嘉定,嘉定老城,南苑一村,25816元/m2,8套在售二手房,https://sh.lianjia.com/xiaoqu/5011000009263/,1993年建成 ,板楼,0.45元/平米/月,叶城,无,68,876户
20191030,嘉定,嘉定老城,南苑五村,24092元/m2,6套在售二手房,https://sh.lianjia.com/xiaoqu/5011000000646/,1995年建成 ,板楼,0.45元/平米/月,叶城,无,58,669户
20191030,嘉定,嘉定老城,李园一村,28407元/m2,25套在售二手房,https://sh.lianjia.com/xiaoqu/5011000020419/,1986年建成 ,板楼,0.9至1元/平米/月,自主,嘉定房地产有限公司,94,1794户
20191030,嘉定,嘉定老城,南苑七村,23736元/m2,7套在售二手房,https://sh.lianjia.com/xiaoqu/5011000010204/,1996年建成 ,板楼,0.7元/平米/月,南苑,上海城建置业发展有限公司,80,928户
20191030,嘉定,嘉定老城,塔城路800弄,27063元/m2,8套在售二手房,https://sh.lianjia.com/xiaoqu/5011000008629/,1994年建成 ,板楼,暂无信息,上海东湖物业管理有限,上海海富置业有限公司,39,522户
20191030,嘉定,嘉定老城,南苑三村,26392元/m2,2套在售二手房,https://sh.lianjia.com/xiaoqu/5011000000969/,1994年建成 ,板楼,0.8元/平米/月,叶城,上海建工房产有限公司,48,576户
20191030,嘉定,嘉定老城,民乐社区南苑六村,24468元/m2,6套在售二手房,https://sh.lianjia.com/xiaoqu/5011000000177/,1994年建成 ,板楼,0.45元/平米/月,叶城, 上海嘉定城市建设投资有限公司,66,1016户
20191030,嘉定,嘉定老城,三皇桥小区,25228元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000003720/,1981年建成 ,板楼,0.9元/平米/月,上海嘉城物业管理有限,上海市绿地集团置业有限公司,43,1040户
20191030,嘉定,嘉定老城,小囡桥小区,24208元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000001124/,1981年建成 ,板楼,0.86元/平米/月,嘉城,上海海富置业有限公司,50,1177户
20191030,嘉定,嘉定老城,北大街108弄,27715元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000019371/,1995年建成 ,板楼,0.45元/平米/月,上海仙城,上海中友房产开发有限公司,12,224户
20191030,嘉定,嘉定老城,东大小区,32038元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000019577/,1988年建成 ,板楼,1.2至1.5元/平米/月,嘉城,南京万家置业发展有限公司,19,372户
20191030,嘉定,嘉定老城,南苑二村,24463元/m2,9套在售二手房,https://sh.lianjia.com/xiaoqu/5011000010590/,1993年建成 ,板楼,0.5元/平米/月,上海锦明,上海建工房产有限公司,70,961户
20191030,嘉定,嘉定老城,丽景小区,26258元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000010454/,1991年建成 ,板楼,0.8元/平米/月,上海嘉龙房产发展有限,上海嘉龙房产发展有限公司,70,925户
20191030,嘉定,嘉定老城,北大街105弄,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012108769538834/,1996年建成 ,板楼,暂无信息,上海众联物业管理有限,德丰地产投资中博地产德丰地产投资中博地产,3,54户
20191030,嘉定,嘉定老城,中下塘街小区,27380元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/509821540057244/,1949年建成 ,板楼,0.45元/平米/月,自主, 上海嘉定城市建设投资有限公司,33,314户
20191030,嘉定,嘉定老城,红土天阶,25824元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/509821540058056/,2010年建成 ,塔楼,暂无信息,深圳市城投物业管理有限,上海红土天居置业有限公司,4,683户
20191030,嘉定,嘉定老城,塔城路850弄,24659元/m2,5套在售二手房,https://sh.lianjia.com/xiaoqu/5011000000033/,1985年建成 ,板楼,0.8元/平米/月,广夏,上海西上海上食科技发展有限公司,31,397户
20191030,嘉定,嘉定老城,塔城路666弄,27439元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000019625/,1997年建成 ,板楼,0.6元/平米/月,永乐物业，仙霞,上海凯利,14,168户
20191030,嘉定,嘉定老城,南苑四村,24093元/m2,8套在售二手房,https://sh.lianjia.com/xiaoqu/5011000000767/,1994年建成 ,板楼,0.5元/平米/月,叶城,上海市嘉定区建设工程(集团)有限公司,47,684户
20191030,嘉定,嘉定老城,汇龙公寓东区,22934元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/509977363956284/,1997年建成 ,板楼,0.8元/平米/月,海成,上海嘉房置业发展有限公司,14,156户
20191030,嘉定,嘉定老城,梅园新村(嘉定),28249元/m2,13套在售二手房,https://sh.lianjia.com/xiaoqu/5011000000158/,1984年建成 ,板楼,0.9元/平米/月,嘉城,政府安置房,39,1087户
20191030,嘉定,嘉定老城,塔城小区,31325元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000010759/,1962年建成 ,板楼,0.9元/平米/月,嘉城,四建公司,60,1328户
20191030,嘉定,嘉定老城,民乐路100弄,25327元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000001227/,1999年建成 ,板楼,0.6元/平米/月,叶城,上海叶城房地产开发有限公司,49,566户
20191030,嘉定,嘉定老城,秋霞公寓,31867元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000001093/,1989年建成 ,板楼,0.5元/平米/月,自主,龙泉物业物业管理有限责任公司,29,277户
20191030,嘉定,嘉定老城,城南新村,30602元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000014697/,1991年建成 ,板楼,0.45元/平米/月,上海明达物业管理有限,上海临港新城投资建设有限公司,51,865户
20191030,嘉定,嘉定老城,清河路153弄,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/509977363956259/,1980年建成 ,板楼,暂无信息,暂无信息,海城中海润泽置业有限公司,2,48户
