20191030,嘉定,马陆,新城馥华里,35049元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011102210183/,2014年建成 ,板楼,2.9元/平米/月,暂无信息,暂无信息,23,508户
20191030,嘉定,马陆,保利梧桐语(公寓),30847元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5016004899942316/,2012年建成 ,板楼,4.5元/平米/月,暂无信息,暂无信息,8,363户
20191030,嘉定,马陆,复华城市花园紫金里,32343元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000000024/,2007年建成 ,板楼,1.5元/平米/月,暂无信息,暂无信息,63,377户
20191030,嘉定,马陆,信义嘉庭,36926元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000019698/,2017年建成 ,塔楼/板楼,2.8元/平米/月,上海复瑞物业管理有限,信义置业（上海）有限公司,8,705户
20191030,嘉定,马陆,复华路28弄,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5016389495337528/,暂无信息 ,板楼,暂无信息,暂无信息,暂无信息,7,566户
20191030,嘉定,马陆,嘉怡别墅,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011102210187/,2005年建成 ,板楼,3元/平米/月,上海海鸿福船物业管理有限,上海新望房地产经营有限公司,240,240户
20191030,嘉定,马陆,育绿小区,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000009388/,1999年建成 ,板楼,暂无信息,上海上房置业中心有限,上海恒力房地产发展有限公司,13,307户
20191030,嘉定,马陆,嘉戬支路120弄,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/509821540057137/,1997年建成 ,板楼,暂无信息,暂无信息,暂无信息,4,72户
20191030,嘉定,马陆,保利梧桐语(别墅),71942元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000001482/,2012年建成 ,板楼,4.5元/平米/月,上海同策房产咨询有限,上海保利房地产发展有限公司,45,45户
20191030,嘉定,马陆,思诚路138号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5020026313097676/,暂无信息 ,板楼,暂无信息,暂无信息,暂无信息,6,6户
20191030,嘉定,马陆,叶城东路350弄,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5016389543047176/,暂无信息 ,板楼,暂无信息,暂无信息,暂无信息,10,540户
20191030,嘉定,马陆,金园小区,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011102210046/,1996年建成 ,板楼,暂无信息,暂无信息,暂无信息,6,144户
20191030,嘉定,马陆,立新路253号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970492703269/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,嘉定,马陆,叶城东路363弄,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5016389506370269/,暂无信息 ,板楼,暂无信息,暂无信息,暂无信息,7,378户
20191030,嘉定,马陆,嘉新公路401号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970443682554/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,嘉定,马陆,陈宝路247号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970475925603/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,嘉定,马陆,澄浏中路2572号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970675941457/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,嘉定,马陆,安公路370弄19号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970721292591/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,嘉定,马陆,嘉戬公路565号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5016389543047422/,1984年建成 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,嘉定,马陆,嘉戬支路167号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970443682518/,1984年建成 ,板楼,暂无信息,暂无信息,暂无信息,1,14户
20191030,嘉定,马陆,嘉戬支路215弄,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/509977363956120/,1995年建成 ,板楼,暂无信息,暂无信息,暂无信息,2,50户
20191030,嘉定,马陆,茂华路50弄,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5016389506369694/,暂无信息 ,板楼,暂无信息,暂无信息,暂无信息,10,492户
20191030,嘉定,马陆,嘉苑别墅,52521元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000013537/,2001年建成 ,板楼,暂无信息,暂无信息,上海嘉苑房地产发展有限责任公司,39,39户
20191030,嘉定,马陆,华谊禄丰苑,33305元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011588639404433/,暂无信息 ,板楼,暂无信息,上海欣周物业管理有限,上海华陆房地产开发经营有限公司,6,225户
20191030,嘉定,马陆,成泽路385弄,34208元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5016389495337917/,2015年建成 ,板楼,暂无信息,暂无信息,暂无信息,10,244户
20191030,嘉定,马陆,嘉泉花园,54000元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011102210453/,1994年建成 ,板楼,暂无信息,暂无信息,暂无信息,14,14户
