20191030,嘉定,外冈,外冈新苑,18958元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000012504/,2006年建成 ,板楼,1.1元/平米/月,无,暂无信息,306,4122户
20191030,嘉定,外冈,上海庄园三期,25323元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000004119/,2011年建成 ,板楼,3元/平米/月,上海隽翔物业管理有限,上海隽城置业有限公司,574,983户
20191030,嘉定,外冈,外冈佳苑,21641元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000018431/,2013年建成 ,板楼,1.2元/平米/月,无,暂无信息,54,2411户
20191030,嘉定,外冈,河畔艺墅(公寓),22809元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000000252/,2016年建成 ,板楼,2.4元/平米/月,上海阳光投资（集团）物业管理有限,上海嘉定上城地产有限公司,38,616户
20191030,嘉定,外冈,上海院子,31836元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000004280/,2014年建成 ,板楼,3.2元/平米/月,上海隽翔物业管理有限,香港路劲集团,515,874户
20191030,嘉定,外冈,兰郡九里澜溪谷,27462元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000000004/,2011年建成 ,板楼,2元/平米/月,暂无信息,暂无信息,270,270户
20191030,嘉定,外冈,顺驰兰郡名苑,24369元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000013475/,2003年建成 ,板楼,2.5元/平米/月,上海顺驰方城置,上海顺驰方城置业有限公司,449,735户
20191030,嘉定,外冈,河畔艺墅(别墅),24346元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000000250/,2016年建成 ,板楼,2.4元/平米/月,上海阳光投资（集团）物业管理有限,上海嘉定上城地产有限公司,59,98户
20191030,嘉定,外冈,冈峰新苑,19160元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000000100/,2005年建成 ,板楼,1.2元/平米/月,暂无信息,暂无信息,15,176户
20191030,嘉定,外冈,祁昌路135弄,19512元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000018841/,1997年建成 ,板楼,暂无信息,暂无信息,暂无信息,14,164户
20191030,嘉定,外冈,广由新村,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5013715895758989/,暂无信息 ,板楼,暂无信息,暂无信息,暂无信息,1,1户
20191030,嘉定,外冈,宝钱公路5000弄239号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970721293054/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,6户
20191030,嘉定,外冈,宝钱公路5000弄50号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970721293059/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,2户
20191030,嘉定,外冈,祁昌路122号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5016389495337606/,1994年建成 ,板楼,暂无信息,暂无信息,暂无信息,1,15户
20191030,嘉定,外冈,嘉定外冈镇,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000010613/,2011年建成 ,未知,暂无信息,暂无信息,暂无信息,2,3户
20191030,嘉定,外冈,沪宜公路5688弄6号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970706350603/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,嘉定,外冈,祁昌路350弄53号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970569249097/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,嘉定,外冈,望安路668号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970614862149/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,嘉定,外冈,施晋村191号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970766906304/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,嘉定,外冈,宝钱公路5000弄421号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970721293057/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,嘉定,外冈,嘉松北路344号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970443682542/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,嘉定,外冈,新街二村,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5016389398891297/,1983年建成 ,板楼,暂无信息,暂无信息,暂无信息,3,44户
20191030,嘉定,外冈,兰郡九里,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000009028/,2000年建成 ,板楼,2.5元/平米/月,上海隽翔物业管理有限,上海顺驰投资有限公司,46,57户
20191030,嘉定,外冈,上海五金城,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000000482/,2005年建成 ,板楼,暂无信息,暂无信息,暂无信息,21,2616户
20191030,嘉定,外冈,外冈五金城,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5020022058234646/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,2,2户
20191030,嘉定,外冈,锦园新村,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000001103/,1993年建成 ,板楼,1.3元/平米/月,暂无信息,暂无信息,18,252户
20191030,嘉定,外冈,富兴华庭,21639元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/509821540057997/,2012年建成 ,板楼,1.79元/平米/月,暂无信息,暂无信息,4,108户
20191030,嘉定,外冈,外冈景苑,21123元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011247176397177/,2016年建成 ,板楼,暂无信息,暂无信息,暂无信息,81,4335户
20191030,嘉定,外冈,外冈壹号,23938元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5010998326504515/,暂无信息 ,板楼,3.5元/平米/月,上海亿超物业管理有限,上海保苑房产经营有限公司,34,204户
