20191030,奉贤,奉城,紫苑小区,16481元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000013313/,1994年建成 ,板楼,0.4至1元/平米/月,青城,上海浦城房地产有限公司,151,2145户
20191030,奉贤,奉城,奉德苑,17288元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000014976/,2010年建成 ,板楼,0.6元/平米/月,上海奉房物业管理有限,上海城申置业有限公司,77,922户
20191030,奉贤,奉城,绿地风清苑,23547元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011063897298/,2016年建成 ,塔楼/板楼,2.1元/平米/月,上海时和南都物业管理有限,上海绿地奉城置业有限公司,365,1685户
20191030,奉贤,奉城,华盛新苑,18862元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000014381/,2007年建成 ,板楼,0.59元/平米/月,水岸,上海强拓房产发展有限公司,48,550户
20191030,奉贤,奉城,新城花屿湾,24994元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011102206635/,暂无信息 ,板楼,2.1元/平米/月,无,新城创贤房地产有限公司,94,1018户
20191030,奉贤,奉城,大宅小区,18389元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000018761/,1980年建成 ,板楼,暂无信息,暂无信息,暂无信息,28,170户
20191030,奉贤,奉城,永昌新村,13889元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000019072/,1999年建成 ,板楼,0.8元/平米/月,暂无信息,暂无信息,21,218户
20191030,奉贤,奉城,洪中路123号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970508169641/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,奉贤,奉城,头桥东路432号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970736497365/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,奉贤,奉城,川南奉公路9458号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970675941508/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,奉贤,奉城,瓦洪公路3129号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970736497377/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
