20191030,奉贤,奉贤金汇,朗诗未来街区,30832元/m2,24套在售二手房,https://sh.lianjia.com/xiaoqu/5011063203199/,2014年建成 ,塔楼/板楼,1.6至2.9元/平米/月,南京朗诗物业管理有限,上海朗铭房地产开发有限公司,81,2062户
20191030,奉贤,奉贤金汇,金碧汇虹苑,20867元/m2,24套在售二手房,https://sh.lianjia.com/xiaoqu/5011000013117/,2007年建成 ,板楼,0.85元/平米/月,上海汇隆物业管理有限,上海新发展金汇房地产开发有限公司,164,2897户
20191030,奉贤,奉贤金汇,天和尚上海,30938元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000019973/,2015年建成 ,板楼,2.85至3.5元/平米/月,长城物业集团股份有限公司上海分,上海康都置业有限公司,307,3419户
20191030,奉贤,奉贤金汇,天和前滩时代,28102元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000019453/,暂无信息 ,塔楼/板楼,暂无信息,长城物业集团股份有限公司上海分,上海仁阅置业有限公司,77,2998户
20191030,奉贤,奉贤金汇,东原郦湾,35916元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011102206836/,暂无信息 ,板楼,2.8元/平米/月,重庆东原物业管理,上海长川房地产开发有限公司,61,878户
20191030,奉贤,奉贤金汇,泰南花苑,21529元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000011750/,1996年建成 ,板楼,0.6元/平米/月,泰南,上海伟立泰日房地产有限公司,154,1879户
20191030,奉贤,奉贤金汇,申亚花满庭,32489元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000009988/,2012年建成 ,板楼,2.3元/平米/月,上海海顿物业管理有限,上海亚绿实业投资有限公司,73,596户
20191030,奉贤,奉贤金汇,汇金新苑,19160元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000000462/,2005年建成 ,板楼,0.49元/平米/月,南京朗诗物业管理有限,九亭投资有限公司,57,529户
20191030,奉贤,奉贤金汇,万科金域华府,30712元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011102206834/,2016年建成 ,板楼,3元/平米/月,上海万科物业有限,上海南科房地产有限公司,45,1267户
20191030,奉贤,奉贤金汇,百曲和苑,22946元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000019961/,2012年建成 ,板楼,0.5元/平米/月,奉贤,建发房产,40,1618户
20191030,奉贤,奉贤金汇,百曲乐苑,23945元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/509977363956294/,2012年建成 ,板楼,暂无信息,暂无信息,暂无信息,25,1038户
20191030,奉贤,奉贤金汇,大叶公路6719弄,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011102206589/,2007年建成 ,板楼,暂无信息,暂无信息,暂无信息,11,110户
20191030,奉贤,奉贤金汇,汇中路85号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5016389543047626/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,6户
20191030,奉贤,奉贤金汇,汇中路101号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5016389501103701/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,奉贤,奉贤金汇,大昌中路69号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5016389495337972/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,8户
20191030,奉贤,奉贤金汇,西街路58号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5016389495337816/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,9户
20191030,奉贤,奉贤金汇,西街96号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5016389501103892/,1980年建成 ,未知,暂无信息,暂无信息,暂无信息,1,9户
20191030,奉贤,奉贤金汇,西街42号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5016389506370452/,1978年建成 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,奉贤,奉贤金汇,汇中路81号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5016389506370083/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,6户
20191030,奉贤,奉贤金汇,木行村,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012516093603686/,暂无信息 ,板楼,暂无信息,暂无信息,暂无信息,86,86户
20191030,奉贤,奉贤金汇,金钱公路985号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970751701620/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,奉贤,奉贤金汇,金闸公路599号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970751701802/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,奉贤,奉贤金汇,汇中路78号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5016389543047189/,1989年建成 ,板楼,暂无信息,暂无信息,暂无信息,1,12户
20191030,奉贤,奉贤金汇,西街30号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5016389506369934/,1978年建成 ,未知,暂无信息,暂无信息,暂无信息,1,4户
20191030,奉贤,奉贤金汇,新建路52弄,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5016389506370472/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,9户
20191030,奉贤,奉贤金汇,汇中路6号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5016389501103601/,1999年建成 ,板楼,暂无信息,暂无信息,暂无信息,1,10户
20191030,奉贤,奉贤金汇,文明路28号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5016389398891474/,1998年建成 ,未知,暂无信息,暂无信息,暂无信息,1,8户
20191030,奉贤,奉贤金汇,泰青路164号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970523373772/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,2户
20191030,奉贤,奉贤金汇,汇中路75号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5016389495337666/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,6户
20191030,奉贤,奉贤金汇,南行旺苑,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011102206860/,2013年建成 ,板楼,1.2元/平米/月,暂无信息,暂无信息,30,1420户
20191030,奉贤,奉贤金汇,泰东新村(奉贤),暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011102206592/,1998年建成 ,板楼,1.3元/平米/月,暂无信息,暂无信息,18,84户
20191030,奉贤,奉贤金汇,汇中路75号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5016389495337666/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,6户
20191030,奉贤,奉贤金汇,南行旺苑,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011102206860/,2013年建成 ,板楼,1.2元/平米/月,暂无信息,暂无信息,30,1420户
20191030,奉贤,奉贤金汇,万顺路2475弄,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5016389495337791/,2013年建成 ,板楼,暂无信息,暂无信息,暂无信息,28,1201户
20191030,奉贤,奉贤金汇,南行达苑,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000001945/,2012年建成 ,板楼,1.2元/平米/月,暂无信息,暂无信息,36,1500户
20191030,奉贤,奉贤金汇,泰青公路619弄,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011102206566/,2013年建成 ,板楼,暂无信息,暂无信息,暂无信息,3,4户
20191030,奉贤,奉贤金汇,沿港河畔家园,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5013175218777862/,暂无信息 ,板楼,暂无信息,暂无信息,暂无信息,24,1812户
20191030,奉贤,奉贤金汇,申亚花涧墅,30319元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011102206594/,2012年建成 ,板楼,暂无信息,上海海盾物业有限,上海亚绿实业投资有限公司,58,58户
20191030,奉贤,奉贤金汇,汇港苑,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5020033227085051/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,8,648户
20191030,奉贤,奉贤金汇,汇中路16幢,18448元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000019976/,1999年建成 ,板楼,0.4元/平米/月,暂无信息,暂无信息,3,30户
