20191030,奉贤,青村,钱桥新苑,16670元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000012704/,2008年建成 ,板楼,0.65元/平米/月,无,暂无信息,33,318户
20191030,奉贤,青村,中南锦庭,38698元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5010589599183270/,暂无信息 ,板楼,暂无信息,中南物业管理有限, 上海锦冠房地产开发有限公司,17,540户
20191030,奉贤,青村,北唐新苑,16589元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000014433/,2006年建成 ,板楼,暂无信息,上海奉房物业管理有限,上海青村投资开发有限公司,308,2702户
20191030,奉贤,青村,亿丰商务楼,12907元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000001374/,2013年建成 ,塔楼/板楼,暂无信息,暂无信息,暂无信息,3,182户
20191030,奉贤,青村,南奉公路2897弄,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011102206887/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,奉贤,青村,立新中路64号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011102206637/,1985年建成 ,板楼,暂无信息,暂无信息,暂无信息,2,17户
20191030,奉贤,青村,南奉公路512弄,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/509821540057510/,1996年建成 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,奉贤,青村,振浦路2号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5016389545929755/,暂无信息 ,板楼,暂无信息,暂无信息,暂无信息,1,16户
20191030,奉贤,青村,泰青路619弄,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5016389495337430/,2009年建成 ,板楼,暂无信息,暂无信息,暂无信息,32,339户
20191030,奉贤,青村,南奉公路3号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5016389545929936/,1996年建成 ,板楼,暂无信息,暂无信息,暂无信息,1,10户
20191030,奉贤,青村,人民路46号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5016389501103969/,1978年建成 ,板楼,暂无信息,暂无信息,暂无信息,1,49户
20191030,奉贤,青村,罗神村,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5010320126422385/,暂无信息 ,板楼,暂无信息,暂无信息,暂无信息,3,39户
20191030,奉贤,青村,奉贤南街60号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970475926302/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,奉贤,青村,南奉公路1487号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5016389495337276/,1997年建成 ,板楼,暂无信息,暂无信息,暂无信息,1,12户
20191030,奉贤,青村,新建西路21号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5016389545930131/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,8户
20191030,奉贤,青村,人民路4号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/509977363956292/,1993年建成 ,板楼,暂无信息,暂无信息,暂无信息,2,20户
20191030,奉贤,青村,秋月朗庭尚东区,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5015033195572604/,暂无信息 ,板楼,4元/平米/月,上海中环陆家嘴物业管理有限,上海中环南城置业有限公司,26,571户
20191030,奉贤,青村,人民路40号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5016389495337785/,1979年建成 ,板楼,暂无信息,暂无信息,暂无信息,1,76户
20191030,奉贤,青村,光伟小区,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011102210060/,暂无信息 ,板楼,暂无信息,暂无信息,暂无信息,4,31户
20191030,奉贤,青村,长丰新村,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011102206766/,1987年建成 ,板楼,暂无信息,暂无信息,暂无信息,11,114户
20191030,奉贤,青村,亿丰五金机电广场,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5020031583190212/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,200户
20191030,奉贤,青村,光明路112号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011102209988/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
