20191030,奉贤,四团,海港新苑(一期),17392元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000013175/,2004年建成 ,板楼,1.4元/平米/月,上海国际汽车城物业管理有限,上海港通房地产发展有限公司,159,2150户
20191030,奉贤,四团,安居路18号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5016389506370368/,2003年建成 ,板楼,暂无信息,暂无信息,暂无信息,1,10户
20191030,奉贤,四团,安居路49弄,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5016389495337320/,2005年建成 ,板楼,暂无信息,暂无信息,暂无信息,4,40户
20191030,奉贤,四团,安居路12号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5016389543047686/,2003年建成 ,板楼,暂无信息,暂无信息,暂无信息,1,10户
20191030,奉贤,四团,堂前街1号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5010162819312673/,暂无信息 ,板楼,暂无信息,暂无信息,暂无信息,1,1户
20191030,奉贤,四团,安居路6号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5016389501104048/,2001年建成 ,未知,暂无信息,暂无信息,暂无信息,1,8户
20191030,奉贤,四团,安居路10号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5016389506369987/,2001年建成 ,未知,暂无信息,暂无信息,暂无信息,1,8户
20191030,奉贤,四团,安居路2号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5016389495337360/,2001年建成 ,未知,暂无信息,暂无信息,暂无信息,1,8户
20191030,奉贤,四团,天鹏一区,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5016389501103354/,1999年建成 ,板楼,暂无信息,暂无信息,暂无信息,2,33户
20191030,奉贤,四团,堂前街12号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000004688/,暂无信息 ,板楼,暂无信息,暂无信息,暂无信息,1,12户
20191030,奉贤,四团,平安新苑,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000010601/,1990年建成 ,板楼,0.4元/平米/月,上海国际汽车城物业管理有限,上海聚绩置业有限公司,24,95户
20191030,奉贤,四团,办公楼奉贤区,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000003008/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,8,181户
20191030,奉贤,四团,鹏程三村,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5020041038119952/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,奉贤,四团,绿城上海诚园,18547元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5020020982070360/,暂无信息 ,板楼,4.2元/平米/月,上海绿城物业有限,上海临港奉贤置业有限公司,11,287户
20191030,奉贤,四团,文汇新村,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000019397/,2004年建成 ,板楼,暂无信息,暂无信息,暂无信息,4,40户
20191030,奉贤,四团,上海海港国际贸易中心,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000000614/,2006年建成 ,板楼,暂无信息,无,暂无信息,52,2312户
20191030,奉贤,四团,天成综合楼,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5020023819466187/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,奉贤,四团,新四平公路468号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970630066250/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,奉贤,四团,文广苑,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011102206832/,2010年建成 ,板楼,0.8元/平米/月,暂无信息,暂无信息,2,2户
20191030,奉贤,四团,平港路129号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5020026518619730/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,奉贤,四团,平安家园,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000019483/,2005年建成 ,板楼,暂无信息,暂无信息,暂无信息,10,80户
20191030,奉贤,四团,平苑小区,14296元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000019824/,2006年建成 ,板楼,0.6元/平米/月,暂无信息,暂无信息,14,135户
