20191030,奉贤,柘林,海岸景苑,14575元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000012350/,2006年建成 ,板楼,0.5元/平米/月,上海西乐物业管理有限,上海斌岸房地产开发有限公司,39,504户
20191030,奉贤,柘林,海韵馨苑,14258元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000014503/,2009年建成 ,板楼,0.7至1.19元/平米/月,上海盛源物业有限,上海新柘林建设发展有限公司,182,1788户
20191030,奉贤,柘林,乐怡苑(奉贤),12978元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000002282/,2009年建成 ,板楼,0.5元/平米/月,暂无信息,暂无信息,54,772户
20191030,奉贤,柘林,海畔家园(二期),13491元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000002277/,2009年建成 ,板楼,1.15元/平米/月,暂无信息,暂无信息,96,1020户
20191030,奉贤,柘林,目华新村,14335元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000014030/,2006年建成 ,板楼,0.3元/平米/月,暂无信息,暂无信息,98,980户
20191030,奉贤,柘林,胡中小区,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/509821540058041/,1998年建成 ,板楼,2.1元/平米/月,暂无信息,暂无信息,4,22户
20191030,奉贤,柘林,驰华路618号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5020023465949434/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,奉贤,柘林,康乐新村,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000004381/,2000年建成 ,板楼,暂无信息,暂无信息,暂无信息,6,22户
20191030,奉贤,柘林,钦林南路111号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5016483732195747/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,2户
20191030,奉贤,柘林,新寺镇中街1幢,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000019815/,1998年建成 ,板楼,暂无信息,暂无信息,暂无信息,1,6户
20191030,奉贤,柘林,庄胡支路10号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970691146666/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,奉贤,柘林,浦卫公路8556号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000004926/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,2户
20191030,奉贤,柘林,联业路861号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5020026488209958/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,奉贤,柘林,苍工路72号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5020022914112381/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,奉贤,柘林,钦林北路58弄,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/509977363956272/,1995年建成 ,板楼,暂无信息,暂无信息,暂无信息,3,29户
20191030,奉贤,柘林,新塘路198弄,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5016389506369750/,暂无信息 ,板楼,暂无信息,暂无信息,暂无信息,23,1648户
20191030,奉贤,柘林,竹港新村,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5014773429505762/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,奉贤,柘林,湖港小区,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000004660/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,奉贤,柘林,苍工路319号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5016345882176725/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
