20191030,宝山,大场镇,乾溪新村,41241元/m2,27套在售二手房,https://sh.lianjia.com/xiaoqu/5011000016137/,1993年建成 ,塔楼/板楼,0.45至1.5元/平米/月,上海乾溪物业管理有限,大华集团上海华宜置业有限公司,181,3224户
20191030,宝山,大场镇,上大阳光乾和园,41494元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000014385/,2008年建成 ,板楼,1.1至1.5元/平米/月,上海乾溪物业管理有限,上海乾溪置业总公司,42,704户
20191030,宝山,大场镇,同济城市阳光,51949元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000001115/,2014年建成 ,板楼,2.6元/平米/月,上海同科物业管理有限,上海同瓴置业有限公司,18,626户
20191030,宝山,大场镇,骏华苑,44682元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000004053/,2008年建成 ,板楼,1.01元/平米/月,上海乾溪物业管理有限,大华集团上海华宜置业有限公司,32,441户
20191030,宝山,大场镇,南大路180弄,36893元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000008802/,1995年建成 ,板楼,0.8元/平米/月,新寓,北辰集团,30,643户
20191030,宝山,大场镇,洛场路107号,39956元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5010956325793946/,1997年建成 ,板楼,0.45元/平米/月,暂无信息,暂无信息,1,20户
20191030,宝山,大场镇,上大阳光乾龙苑,39041元/m2,9套在售二手房,https://sh.lianjia.com/xiaoqu/5011000001152/,1996年建成 ,板楼,0.8至0.81元/平米/月,上海乾溪物业管理有限,上海联兴住宅建设有限公司,56,712户
20191030,宝山,大场镇,祥泰苑,41828元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000014949/,2008年建成 ,板楼,0.8至1元/平米/月,上海普陀物业有限,经纬置地有限公司,67,732户
20191030,宝山,大场镇,招商中环华府,65513元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/509977363956057/,2006年建成 ,板楼,4元/平米/月,上海招商局物业管理有限, 上海招平房地产开发有限公司,69,1185户
20191030,宝山,大场镇,上大阳光乾澄园,44617元/m2,6套在售二手房,https://sh.lianjia.com/xiaoqu/5011000001692/,1997年建成 ,板楼,2.5元/平米/月,上海乾溪物业管理有限,上海建乾房地产开发有限公司,50,599户
20191030,宝山,大场镇,和泰苑,38822元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/509821540319362/,2006年建成 ,板楼,0.8至3.2元/平米/月,保利,经纬置地有限公司,82,948户
20191030,宝山,大场镇,环镇北路600弄,37304元/m2,15套在售二手房,https://sh.lianjia.com/xiaoqu/5011000008430/,1996年建成 ,板楼,0.8元/平米/月,现代智能物业管理(上海)有限,上海联兴住宅建设有限公司,68,852户
20191030,宝山,大场镇,环镇北路400弄,44982元/m2,4套在售二手房,https://sh.lianjia.com/xiaoqu/5011000001693/,1995年建成 ,板楼,0.45至0.9元/平米/月,上海乾溪物业管理有限,上海乾溪置业总公司,36,805户
20191030,宝山,大场镇,环镇北路500弄,42194元/m2,7套在售二手房,https://sh.lianjia.com/xiaoqu/5011000006741/,1995年建成 ,板楼,0.45元/平米/月,上海乾溪置业总,上海乾溪置业总公司,45,600户
20191030,宝山,大场镇,南大路76弄,37315元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000019193/,1992年建成 ,板楼,0.75元/平米/月,暂无信息,上海纺织置业有限公司浦西分公司,6,144户
20191030,宝山,大场镇,南大路190弄,35866元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000007451/,1995年建成 ,板楼,0.55元/平米/月,新雨,南城集团开发有限公司,23,394户
