20191030,宝山,共富,共富一村,37451元/m2,34套在售二手房,https://sh.lianjia.com/xiaoqu/5011000013618/,1995年建成 ,板楼,0.85元/平米/月,上海顾村物业管理有限,上海顾村房地产开发(集团)有限公司,286,3440户
20191030,宝山,共富,共富二村,36496元/m2,45套在售二手房,https://sh.lianjia.com/xiaoqu/5011000017602/,1995年建成 ,板楼,0.6元/平米/月,上海泰发物业发展,上海宝发房地产开发有限公司,265,3374户
20191030,宝山,共富,共富四村,37121元/m2,20套在售二手房,https://sh.lianjia.com/xiaoqu/5011000014117/,1998年建成 ,板楼,0.56至0.86元/平米/月,上海顾村物业管理有限,上海顾村房地产开发(集团)有限公司,202,2479户
20191030,宝山,共富,大唐花园,33358元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000017166/,1995年建成 ,板楼,0.4元/平米/月,上海宝园物业管理有限,上海宝园房地产有限公司,114,1731户
20191030,宝山,共富,共富花园,38223元/m2,5套在售二手房,https://sh.lianjia.com/xiaoqu/5011000004954/,1997年建成 ,板楼,0.6元/平米/月,上海泰发物业发展,上海宝发房地产开发有限公司,32,454户
20191030,宝山,共富,大宁北玉兰公馆,52447元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011062711406/,1995年建成 ,板楼,0.8至4.8元/平米/月,绿城,上海融绿汇谊置业有限公司,31,1057户
20191030,宝山,共富,共富三村,37254元/m2,8套在售二手房,https://sh.lianjia.com/xiaoqu/5011000000800/,1998年建成 ,板楼,0.4至0.8元/平米/月,竞,上海古北顾村置业有限公司,62,708户
20191030,宝山,共富,富都园,36692元/m2,5套在售二手房,https://sh.lianjia.com/xiaoqu/5011000013342/,2003年建成 ,板楼,0.85元/平米/月,上海富锦物业管理有限,上海共富经济发展有限公司,40,426户
20191030,宝山,共富,鑫鑫花园,35528元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000017144/,2004年建成 ,板楼,0.6元/平米/月,顾村置,上海顾村房地产开发(集团)有限公司,63,842户
20191030,宝山,共富,富隆苑,39247元/m2,9套在售二手房,https://sh.lianjia.com/xiaoqu/5011000008885/,2004年建成 ,板楼,0.95元/平米/月,上海富锦物业管理有限,上海顾村房地产开发(集团)有限公司,38,600户
20191030,宝山,共富,共富路427号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970691145907/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,宝山,共富,共富路215号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970691145902/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,宝山,共富,顾太路40号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970782110116/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,宝山,共富,共富路156弄7号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5014463373446096/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,宝山,共富,共富路3号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5020024813932865/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,宝山,共富,共富路540号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970691145909/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,宝山,共富,联泰路154号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970492703425/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,宝山,共富,共富路183弄4号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970691145898/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,宝山,共富,联谊路303号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970492703433/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,宝山,共富,联谊路365号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970492703436/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,2户
20191030,宝山,共富,联谊路353号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970492703435/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,宝山,共富,沪太路4301号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970706350461/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,宝山,共富,共富新村170号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970691145912/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,宝山,共富,共富路146号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970691145894/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,宝山,共富,共富路353号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970691145904/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,宝山,共富,蕰川路512号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970660737152/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,宝山,共富,联泰路273号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970492703426/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,宝山,共富,红石商务大楼,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011102210096/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,18户
20191030,宝山,共富,联泰路403号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970492703429/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,宝山,共富,共富路554号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5020028033477328/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,宝山,共富,共富路538号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970691145908/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
