20191030,宝山,罗店,万科琥珀郡园,40658元/m2,33套在售二手房,https://sh.lianjia.com/xiaoqu/5011000014874/,2010年建成 ,板楼,2.5至3.1元/平米/月,万科,上海美兰华府置业有限公司,162,1087户
20191030,宝山,罗店,美兰湖中华园,37266元/m2,37套在售二手房,https://sh.lianjia.com/xiaoqu/5011000010988/,2011年建成 ,板楼,2.08元/平米/月,上海中企物业管理有限,中华企业股份有限公司,112,1344户
20191030,宝山,罗店,美兰湖岭域,38559元/m2,28套在售二手房,https://sh.lianjia.com/xiaoqu/5011000011023/,2009年建成 ,板楼,2至2.5元/平米/月,景瑞,上海景尚置业有限公司,98,948户
20191030,宝山,罗店,万科琥珀臻园,42861元/m2,13套在售二手房,https://sh.lianjia.com/xiaoqu/5011000011782/,2011年建成 ,板楼,3.3元/平米/月,上海万科物业服务有限,上海万科房地产有限公司,275,570户
20191030,宝山,罗店,罗南二村,27933元/m2,39套在售二手房,https://sh.lianjia.com/xiaoqu/5011000013953/,1994年建成 ,板楼,0.5元/平米/月,宝月,上海罗南房地产有限公司,218,2669户
20191030,宝山,罗店,美兰湖颐景园,32636元/m2,31套在售二手房,https://sh.lianjia.com/xiaoqu/5011000013862/,2007年建成 ,板楼,1.26至1.36元/平米/月,上海三盛颐景园物业管理有限公司三盛管理处,上海铭瑞房地产有限公司,117,997户
20191030,宝山,罗店,顺驰美兰湖,33717元/m2,8套在售二手房,https://sh.lianjia.com/xiaoqu/5011000012052/,2007年建成 ,板楼,1.3元/平米/月,上海顺驰方城置,上海顺驰投资有限公司,89,908户
20191030,宝山,罗店,上置香岛原墅(别墅),29160元/m2,7套在售二手房,https://sh.lianjia.com/xiaoqu/5011000009834/,2011年建成 ,板楼,2.17元/平米/月,上置,上海香岛花园置业有限公司,334,334户
20191030,宝山,罗店,朗诗绿岛(公寓),40022元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000012833/,2011年建成 ,板楼,2.2元/平米/月,南京朗诗物业管理有限,上海朗华置业有限公司,37,682户
20191030,宝山,罗店,信达郡庭,34822元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000001931/,2012年建成 ,板楼,2至2.8元/平米/月,上海上置物业管理有限,上海宝山信达银泰房地产有限公司,91,257户
20191030,宝山,罗店,美罗家园宝欣苑五村,29269元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/509977363955861/,2014年建成 ,塔楼/板楼,暂无信息,暂无信息,暂无信息,14,1072户
