20191030,宝山,罗泾,旭辉澜悦湾,27232元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000002801/,2013年建成 ,板楼,1.97元/平米/月,旭辉物业管理有限,上海旭明置业有限公司,54,1283户
20191030,宝山,罗泾,旭辉城,26929元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000003886/,2011年建成 ,塔楼/板楼,2.5元/平米/月,旭辉物业管理有限,上海旭通置业有限公司,60,2154户
20191030,宝山,罗泾,信达蓝庭(公寓),30211元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011102210225/,暂无信息 ,塔楼/板楼,暂无信息,上海万科物业管理有限,上海宝山信达银晟置业有限公司,22,1082户
20191030,宝山,罗泾,美兰金色宝邸,25640元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011102210222/,2014年建成 ,板楼,2.2元/平米/月,上海顾村物业管理有限,上海顾村房地产开发(集团)有限公司,68,592户
20191030,宝山,罗泾,宝虹家园,20721元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000014623/,2005年建成 ,板楼,1.2元/平米/月,上海新罗泾,上海新罗泾房地产发展有限公司,271,3071户
20191030,宝山,罗泾,北郊一号,23679元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000004355/,2011年建成 ,板楼,1.93元/平米/月,上海中星集团申城物业有限,上海中星城镇置业有限公司,99,951户
20191030,宝山,罗泾,新川沙路516号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970736496877/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,宝山,罗泾,沪太路8183号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970706350498/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,宝山,罗泾,沪太路8179号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970706350497/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,宝山,罗泾,沪太路8885号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970706350505/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,宝山,罗泾,潘沪路119号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970675942229/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,宝山,罗泾,潘泾路4777号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970675942233/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,宝山,罗泾,罗泾沪太路8786号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970584453222/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,宝山,罗泾,新川沙路518号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970736496878/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,宝山,罗泾,雍和府,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5020026323586975/,暂无信息 ,板楼,4.5元/平米/月,暂无信息,上海茂璟置业有限公司,187,1437户
20191030,宝山,罗泾,陈东中路18号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970475925606/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,宝山,罗泾,太仓海华景苑,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011102210197/,2005年建成 ,板楼,暂无信息,暂无信息,暂无信息,2,3户
20191030,宝山,罗泾,罗森堡商务中心,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000012284/,暂无信息 ,未知,3.5元/平米/月,上海上置物业管理有限,上海望源企业发展有限公司,1,6户
20191030,宝山,罗泾,陈东新苑,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/509977363955781/,2011年建成 ,板楼,暂无信息,暂无信息,暂无信息,11,124户
20191030,宝山,罗泾,东升路85号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970599657705/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,宝山,罗泾,长虹路718弄,29726元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5016389506369574/,2015年建成 ,板楼,暂无信息,暂无信息,暂无信息,32,150户
20191030,宝山,罗泾,潘沪路399弄,23898元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5016389371080662/,2013年建成 ,板楼,暂无信息,暂无信息,暂无信息,11,684户
20191030,宝山,罗泾,北郊御墅,25091元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000004450/,2012年建成 ,板楼,2.16元/平米/月,上海新城物业有限,上海中星城镇置业有限公司,189,189户
20191030,宝山,罗泾,信达蓝庭(别墅),25297元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011102210226/,暂无信息 ,板楼,暂无信息,上海上置物业管理有限,上海宝山信达银晟置业有限公司,194,194户
20191030,宝山,罗泾,潘沪路69弄,25802元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5016389501103523/,2013年建成 ,板楼,0.92元/平米/月,暂无信息,暂无信息,39,978户
20191030,宝山,罗泾,陈行街17弄,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000004137/,1981年建成 ,板楼,暂无信息,暂无信息,暂无信息,10,142户
20191030,宝山,罗泾,宝通家园,19898元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000013007/,2007年建成 ,板楼,1.2元/平米/月,共和,上海罗通房地产有限公司,115,1507户
20191030,宝山,罗泾,璟储新和湾(公寓),31706元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000018969/,暂无信息 ,板楼,暂无信息,上海宝月物业管理有限责任,上海新璟储置业有限公司,2,108户
20191030,宝山,罗泾,宝悦家苑,20114元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000012519/,2009年建成 ,板楼,1.2元/平米/月,无,暂无信息,148,1776户
20191030,宝山,罗泾,宝平苑,20769元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000019171/,2007年建成 ,板楼,1元/平米/月,暂无信息,暂无信息,24,286户
20191030,宝山,罗泾,璟储新和湾(别墅),暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000018971/,暂无信息 ,板楼,暂无信息,上海宝月物业管理有限,上海新璟储置业有限公司,66,102户
