20191030,宝山,通河,通河八村,43051元/m2,11套在售二手房,https://sh.lianjia.com/xiaoqu/5011000012556/,1994年建成 ,板楼,0.5至0.8元/平米/月,上海骏利物业管理有限,上海骏利(集团)有限公司,156,2222户
20191030,宝山,通河,通河二村,41255元/m2,15套在售二手房,https://sh.lianjia.com/xiaoqu/5011000015088/,1988年建成 ,塔楼/板楼,0.4至0.8元/平米/月,通河,上海华谊集团置业有限公司呼玛管理处,137,4250户
20191030,宝山,通河,通河六村,41425元/m2,23套在售二手房,https://sh.lianjia.com/xiaoqu/5011000017146/,1994年建成 ,板楼,0.8元/平米/月,通河,上海华谊集团置业有限公司呼玛管理处,142,3271户
20191030,宝山,通河,通河七村,40861元/m2,10套在售二手房,https://sh.lianjia.com/xiaoqu/5011000000486/,1995年建成 ,板楼,0.8元/平米/月,上海骏利物业管理有限,上海华谊集团置业有限公司呼玛管理处,54,1196户
20191030,宝山,通河,通河四村,44703元/m2,24套在售二手房,https://sh.lianjia.com/xiaoqu/5011000010840/,1987年建成 ,板楼,0.6元/平米/月,宝华物业有限,上海宝房(集团)通河物业管理有限公司,119,2517户
20191030,宝山,通河,昌鑫家园,47549元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000009017/,2000年建成 ,板楼,0.4元/平米/月,上海骏利物业管理有限,昌鑫房产,32,368户
20191030,宝山,通河,共江小区,46500元/m2,6套在售二手房,https://sh.lianjia.com/xiaoqu/5011000005412/,1997年建成 ,板楼,0.75元/平米/月,上海宝房(集团)泗塘物业管理有限,上海骏利集团有限公司,78,924户
20191030,宝山,通河,锦辉绿园,50046元/m2,8套在售二手房,https://sh.lianjia.com/xiaoqu/5011000013684/,2000年建成 ,板楼,0.5元/平米/月,上海富锦物业管理有限,上海共富经济发展有限公司,66,815户
20191030,宝山,通河,共江花苑,45790元/m2,3套在售二手房,https://sh.lianjia.com/xiaoqu/5011000009621/,1999年建成 ,板楼,0.75元/平米/月,上海宝房(集团)泗塘物业管理有限,上海骏利（集团）有限公司,25,288户
20191030,宝山,通河,一二八纪念路853号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970538840212/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,宝山,通河,共江路821号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970691146059/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
