20191030,崇明,陈家镇,东滩花园,32768元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/508688780456056/,2014年建成 ,板楼,5.5元/平米/月,北京华贸第一太平物业管理有限,上海揽海房地产开发有限公司,1125,1366户
20191030,崇明,陈家镇,六二路1号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5016635435715243/,1999年建成 ,板楼,暂无信息,暂无信息,暂无信息,1,15户
20191030,崇明,陈家镇,绿地21城滨江汇,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/509821540057955/,暂无信息 ,板楼,暂无信息,暂无信息,绿城集团,2,2户
20191030,崇明,陈家镇,安寿路567弄,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5016389371080689/,暂无信息 ,板楼,暂无信息,暂无信息,暂无信息,14,152户
20191030,崇明,陈家镇,陈彷公路2701弄11-15号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5015396175645830/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,崇明,陈家镇,裕鸿佳苑（七期）,18716元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000000765/,2015年建成 ,板楼,暂无信息,暂无信息,暂无信息,17,246户
20191030,崇明,陈家镇,安润路681弄,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5016389506369959/,暂无信息 ,板楼,暂无信息,暂无信息,暂无信息,40,345户
20191030,崇明,陈家镇,禹洲东滩雍禧,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5015049475763984/,暂无信息 ,板楼,5.8元/平米/月,临客嘉物业经营管理(上海)有限,上海崇明豫商置业有限公司,282,282户
20191030,崇明,陈家镇,海南链家旅居,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5020024502377869/,暂无信息 ,板楼,暂无信息,暂无信息,暂无信息,8,275户
20191030,崇明,陈家镇,陈彷公路2743弄4-8号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5015396163586377/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,崇明,陈家镇,安通东路630弄,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5016389495337249/,暂无信息 ,板楼,暂无信息,暂无信息,暂无信息,24,181户
20191030,崇明,陈家镇,安通东路181弄,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5016389506369818/,2015年建成 ,板楼,暂无信息,暂无信息,暂无信息,8,238户
20191030,崇明,陈家镇,弘道中路2号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5016389543047287/,1991年建成 ,未知,暂无信息,暂无信息,暂无信息,1,9户
20191030,崇明,陈家镇,前哨农场铜棒厂新村,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5016389545929923/,1984年建成 ,板楼,暂无信息,暂无信息,暂无信息,3,18户
20191030,崇明,陈家镇,安秀路348号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5016389495337329/,暂无信息 ,板楼,暂无信息,暂无信息,暂无信息,1,12户
20191030,崇明,陈家镇,爱国村红旗,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011948942439110/,暂无信息 ,板楼,暂无信息,暂无信息,暂无信息,1,1户
20191030,崇明,陈家镇,裕安路9号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5016389501103604/,暂无信息 ,板楼,暂无信息,暂无信息,暂无信息,1,40户
20191030,崇明,陈家镇,北陈公路1462号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5016389543047192/,暂无信息 ,板楼,暂无信息,暂无信息,暂无信息,1,10户
20191030,崇明,陈家镇,前哨四村,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000018875/,1982年建成 ,板楼,暂无信息,暂无信息,暂无信息,8,128户
20191030,崇明,陈家镇,前哨农场二村,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000002379/,1994年建成 ,板楼,暂无信息,暂无信息,暂无信息,21,23户
20191030,崇明,陈家镇,陈彷公路2701弄1-5号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5015396081012441/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,崇明,陈家镇,裕洲路151弄,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000001986/,2015年建成 ,板楼,暂无信息,暂无信息,暂无信息,99,1311户
20191030,崇明,陈家镇,绿中海雅苑,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011102210198/,2010年建成 ,板楼,暂无信息,暂无信息,暂无信息,2,2户
20191030,崇明,陈家镇,体北新村,10835元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000004747/,1986年建成 ,板楼,暂无信息,暂无信息,暂无信息,46,450户
20191030,崇明,陈家镇,三湘海尚云邸,34759元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5016389398891327/,暂无信息 ,板楼,暂无信息,暂无信息,暂无信息,246,246户
20191030,崇明,陈家镇,东苑新村,12887元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000018910/,1982年建成 ,板楼,暂无信息,暂无信息,暂无信息,15,312户
20191030,崇明,陈家镇,前哨一村,18423元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012405265411962/,暂无信息 ,板楼,暂无信息,暂无信息,暂无信息,16,163户
20191030,崇明,陈家镇,前哨农场五村,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011409618119990/,1983年建成 ,板楼,暂无信息,暂无信息,暂无信息,5,92户
20191030,崇明,陈家镇,金茂悦公馆,23525元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000009476/,2012年建成 ,板楼,5.8元/平米/月,上海金茂物业管理有限,金茂（上海）置业有限公司,79,582户
20191030,崇明,陈家镇,前哨二村,17739元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000019149/,1985年建成 ,板楼,暂无信息,暂无信息,暂无信息,28,512户
20191030,崇明,陈家镇,裕鸿佳苑,20633元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000010808/,2007年建成 ,板楼,0.5元/平米/月,上海中鑫物业管理有限,无,972,11525户
20191030,崇明,陈家镇,览海高尔夫别墅,24686元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000005343/,2011年建成 ,板楼,暂无信息,上海览海物业管理有限,上海宝源房地产有限公司,185,185户
20191030,崇明,陈家镇,保亿风景水岸,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000009470/,2011年建成 ,板楼,4元/平米/月,浙江保亿物业服务有限公司上海分,上海春岸房地产开发有限公司,137,282户
