20191030,徐汇,漕河泾,华悦家园,75459元/m2,10套在售二手房,https://sh.lianjia.com/xiaoqu/5011000002238/,2014年建成 ,板楼,1.2元/平米/月,汇成,汇成地产,29,3139户
20191030,徐汇,漕河泾,桂林苑,63569元/m2,11套在售二手房,https://sh.lianjia.com/xiaoqu/5011000003525/,1995年建成 ,板楼,0.8元/平米/月,徐房,上海县房地产,73,1009户
20191030,徐汇,漕河泾,钦江大楼,62880元/m2,2套在售二手房,https://sh.lianjia.com/xiaoqu/5011000011926/,1997年建成 ,塔楼,1元/平米/月,徐房,上海中凯企业集团有限公司,1,225户
20191030,徐汇,漕河泾,航天新苑,62662元/m2,5套在售二手房,https://sh.lianjia.com/xiaoqu/5011000013995/,1998年建成 ,板楼,0.8元/平米/月,上海永和,上海永和房地产有限责任公司,48,554户
20191030,徐汇,漕河泾,欣嘉苑,69638元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000005508/,2001年建成 ,板楼,0.55元/平米/月,上海漕河泾开发区物业管理有限,上海漕河泾开发区高科技园发展有限公司,94,1123户
20191030,徐汇,漕河泾,航天公寓,81592元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000003030/,2003年建成 ,板楼,2.3元/平米/月,安恒泰,上海永联房地产有限公司,12,380户
20191030,徐汇,漕河泾,凯迪虹桥晶舍,100950元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000001916/,2014年建成 ,板楼,2.4元/平米/月,上海久远物业有限,上海华利置业有限公司,1,192户
20191030,徐汇,漕河泾,虹梅小区,56017元/m2,4套在售二手房,https://sh.lianjia.com/xiaoqu/5011000012400/,1994年建成 ,板楼,0.8元/平米/月,上海安得物业管理有限,虹桥置业开发有限公司,22,360户
20191030,徐汇,漕河泾,钦江路47弄,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000018430/,1996年建成 ,板楼,1元/平米/月,徐房,中凯集团,2,84户
20191030,徐汇,漕河泾,东方康洛,94310元/m2,4套在售二手房,https://sh.lianjia.com/xiaoqu/5011000015510/,2004年建成 ,板楼,1.8元/平米/月,上海漕河泾开发区高科技园发展有限,上海漕河泾开发区高科技园发展有限公司,14,310户
20191030,徐汇,漕河泾,特力集团,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011102207382/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,3户
20191030,徐汇,漕河泾,钦江路88号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000005096/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,18户
20191030,徐汇,漕河泾,虹漕南路7号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970508169391/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,徐汇,漕河泾,桂林路398号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970782110540/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,徐汇,漕河泾,钦州北路1000号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5020025959243581/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,徐汇,漕河泾,田林路396号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970736497170/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,2户
20191030,徐汇,漕河泾,田林路128号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970736497153/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,徐汇,漕河泾,新汇园,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000013689/,1993年建成 ,塔板结合,0.8元/平米/月,自主,上海京南地产,24,81户
20191030,徐汇,漕河泾,田林路134号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970736497155/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,徐汇,漕河泾,漕宝路331号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970459411138/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,徐汇,漕河泾,钦州北路931号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970569249142/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
