20191030,徐汇,长桥,徐汇新城(公寓),63304元/m2,13套在售二手房,https://sh.lianjia.com/xiaoqu/5011000017722/,2005年建成 ,板楼,1.69至2.95元/平米/月,上海锐翔上房物业管理有限,上海景秀置业发展有限公司,97,1927户
20191030,徐汇,长桥,长桥一村,81539元/m2,36套在售二手房,https://sh.lianjia.com/xiaoqu/5011000017137/,1977年建成 ,塔楼/板楼,0.8元/平米/月,上海梅陇物业管理有限,梅陇房产,75,1665户
20191030,徐汇,长桥,长桥四村,51078元/m2,33套在售二手房,https://sh.lianjia.com/xiaoqu/5011000014934/,1988年建成 ,塔楼/板楼,0.8元/平米/月,上海安得物业管理有限,上海中友房地产有限公司,121,2845户
20191030,徐汇,长桥,书香逸居,83089元/m2,9套在售二手房,https://sh.lianjia.com/xiaoqu/5011000016723/,2007年建成 ,板楼,1.2元/平米/月,上海锦房物业有限,上海锦瑞房地产发展有限公司,18,724户
20191030,徐汇,长桥,长桥三村,48872元/m2,38套在售二手房,https://sh.lianjia.com/xiaoqu/5011000012179/,1985年建成 ,板楼,0.5至0.8元/平米/月,上海申大物业有限,水电局自建,147,2427户
20191030,徐汇,长桥,长桥五村,74777元/m2,21套在售二手房,https://sh.lianjia.com/xiaoqu/5011000008868/,1989年建成 ,塔楼/板楼,0.8至0.95元/平米/月,上海长泰物业管理有限,上海中友房地产有限公司,48,1048户
20191030,徐汇,长桥,长桥二村,49570元/m2,8套在售二手房,https://sh.lianjia.com/xiaoqu/5011000000513/,1984年建成 ,板楼,0.8元/平米/月,自主,上海徐房(集团)有限公司,68,1288户
20191030,徐汇,长桥,星罗苑,86491元/m2,6套在售二手房,https://sh.lianjia.com/xiaoqu/5011000004109/,2005年建成 ,板楼,0.95元/平米/月,上海中星（集团）有限,上海中星（集团）有限公司,21,227户
20191030,徐汇,长桥,绿洲庭苑,76034元/m2,2套在售二手房,https://sh.lianjia.com/xiaoqu/5011000000385/,2008年建成 ,板楼,1元/平米/月,上海农工商旺都物业管理有限,北京旺都置业有限公司,8,154户
20191030,徐汇,长桥,罗秀新村,49855元/m2,17套在售二手房,https://sh.lianjia.com/xiaoqu/5011000014670/,1993年建成 ,板楼,0.8元/平米/月,上海龙鑫物业有限,上海隆鑫房地产投资咨询有限公司,128,1644户
20191030,徐汇,长桥,长桥八村,52254元/m2,8套在售二手房,https://sh.lianjia.com/xiaoqu/5011000013452/,1994年建成 ,塔楼/板楼,0.8元/平米/月,恒联,恒联房地产,58,1266户
20191030,徐汇,长桥,长桥七村,52601元/m2,9套在售二手房,https://sh.lianjia.com/xiaoqu/5011000001400/,1990年建成 ,板楼,1.75元/平米/月,上海恒联物业管理有限,无,28,504户
20191030,徐汇,长桥,长桥新村,51719元/m2,8套在售二手房,https://sh.lianjia.com/xiaoqu/5011000011599/,1958年建成 ,板楼,0.8元/平米/月,瑞创,上海中友房地产有限公司,69,1466户
20191030,徐汇,长桥,上中路17-19号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970538840737/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,徐汇,长桥,龙吴路1717弄11-4号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5020025848050659/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,徐汇,长桥,龙吴路1719号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970721292417/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,徐汇,长桥,罗香路140号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970584453230/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,2户
20191030,徐汇,长桥,罗香路148号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970584453234/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,2户
20191030,徐汇,长桥,罗香路150号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970584453235/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,2户
20191030,徐汇,长桥,龙吴路1717弄12-1号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5020026661399597/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,徐汇,长桥,上中路33号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5020028573705651/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,徐汇,长桥,星秀苑,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000010820/,1998年建成 ,板楼,0.8元/平米/月,上海中星集团申城物业有限,上海中星（集团）有限公司,4,21户
20191030,徐汇,长桥,龙吴路1717弄14-6号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012767783564196/,暂无信息 ,板楼,暂无信息,暂无信息,暂无信息,1,1户
20191030,徐汇,长桥,罗香路275号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970584453245/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,徐汇,长桥,罗秀路73号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970584453268/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,徐汇,长桥,罗秀路67号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970584453267/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,徐汇,长桥,罗秀路315号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970584453264/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,徐汇,长桥,罗香路144号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970584453232/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,徐汇,长桥,罗香路158号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970584453239/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,徐汇,长桥,罗香路140号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970584453230/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,2户
20191030,徐汇,长桥,罗香路148号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970584453234/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,2户
20191030,徐汇,长桥,罗香路150号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970584453235/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,2户
20191030,徐汇,长桥,长桥六村,54061元/m2,5套在售二手房,https://sh.lianjia.com/xiaoqu/5011000001838/,1993年建成 ,板楼,1.5元/平米/月,自主,上海中星集团有限公司,37,498户
20191030,徐汇,长桥,华馨公寓,69011元/m2,2套在售二手房,https://sh.lianjia.com/xiaoqu/5011000016339/,2006年建成 ,板楼,1.5元/平米/月,上海徐汇物业管理,上海徐汇房地产股份有限公司,17,325户
20191030,徐汇,长桥,徐汇新城(别墅),67700元/m2,1套在售二手房,https://sh.lianjia.com/xiaoqu/5011000001045/,2006年建成 ,板楼,1.64元/平米/月,上海锐翔上房物业管理有限,上海景秀置业发展有限公司,88,88户
