20191030,徐汇,华泾,馨宁公寓,56831元/m2,21套在售二手房,https://sh.lianjia.com/xiaoqu/5011000005330/,2011年建成 ,塔楼/板楼,1.26元/平米/月,中星,上海城建集团,37,4562户
20191030,徐汇,华泾,盛华景苑,47438元/m2,17套在售二手房,https://sh.lianjia.com/xiaoqu/5011000002490/,2013年建成 ,板楼,1元/平米/月,上海采林管理有限,上海龙华房地产有限公司,31,2767户
20191030,徐汇,华泾,中海瀛台,83928元/m2,16套在售二手房,https://sh.lianjia.com/xiaoqu/5011000017133/,2005年建成 ,板楼,2.95至2.98元/平米/月,中海物业管理（上海）有限,上海新海汇房产有限公司,43,2004户
20191030,徐汇,华泾,印象欧洲(公寓),64541元/m2,9套在售二手房,https://sh.lianjia.com/xiaoqu/5011000010442/,2011年建成 ,板楼,2.8至3元/平米/月,上海东湖物业管理有限,上海盈旺房地产开发有限公司,38,1139户
20191030,徐汇,华泾,华欣家园,50436元/m2,22套在售二手房,https://sh.lianjia.com/xiaoqu/5011000017593/,2004年建成 ,板楼,0.65元/平米/月,上海汇成物业管理有限,上海汇成房产经营有限公司,153,2684户
20191030,徐汇,华泾,华泾绿苑,49542元/m2,3套在售二手房,https://sh.lianjia.com/xiaoqu/5011000012943/,2008年建成 ,板楼,1.6元/平米/月,华力,上海龙华房地产有限公司,74,2006户
20191030,徐汇,华泾,华建一街坊,43643元/m2,10套在售二手房,https://sh.lianjia.com/xiaoqu/5011000004307/,1994年建成 ,板楼,0.5元/平米/月,华建小区,国土局,65,1021户
20191030,徐汇,华泾,紫阳花苑,45908元/m2,15套在售二手房,https://sh.lianjia.com/xiaoqu/5011000015668/,1996年建成 ,板楼,0.6元/平米/月,上海佳安物业管理有限责任,上海市徐汇区城市建设投资开发有限公司,133,2228户
20191030,徐汇,华泾,华泾五村,44063元/m2,4套在售二手房,https://sh.lianjia.com/xiaoqu/5011000009441/,1995年建成 ,板楼,0.6元/平米/月,上海上房物业管理有限公司昆山分,上海华闻集团,118,1438户
20191030,徐汇,华泾,光华绿苑,44806元/m2,8套在售二手房,https://sh.lianjia.com/xiaoqu/5011000013182/,2003年建成 ,板楼,1.2元/平米/月,新华,上海宏基房产开发有限公司,98,1254户
20191030,徐汇,华泾,徐汇华园,60760元/m2,2套在售二手房,https://sh.lianjia.com/xiaoqu/5011000010018/,2005年建成 ,板楼,1元/平米/月,上海华臻置业有限,上海华臻置业有限公司,12,502户
