20191030,徐汇,徐汇滨江,尚海湾豪庭,114937元/m2,52套在售二手房,https://sh.lianjia.com/xiaoqu/5011063203505/,2008年建成 ,板楼,4至512元/平米/月,金地,上海鑫泰房地产发展有限公司,32,2344户
20191030,徐汇,徐汇滨江,百汇园,109305元/m2,24套在售二手房,https://sh.lianjia.com/xiaoqu/5011000015961/,2008年建成 ,板楼,3.85至4.35元/平米/月,上海中星集团申城物业有限,上海百汇房地产开发有限公司,22,1663户
20191030,徐汇,徐汇滨江,海珀旭晖酒店式公寓,79207元/m2,5套在售二手房,https://sh.lianjia.com/xiaoqu/5011000002903/,2013年建成 ,板楼,9元/平米/月,绿地,绿城集团,2,208户
20191030,徐汇,徐汇滨江,滨江小区,59314元/m2,16套在售二手房,https://sh.lianjia.com/xiaoqu/5011000015512/,1998年建成 ,板楼,0.8元/平米/月,上海凤梧物业管理有限,上海长峰房地产开发有限公司,171,2052户
20191030,徐汇,徐汇滨江,叠加苑,62172元/m2,5套在售二手房,https://sh.lianjia.com/xiaoqu/5011000017877/,2000年建成 ,板楼,1.05至1.75元/平米/月,中乔,上海叠加置业有限公司,15,294户
20191030,徐汇,徐汇滨江,海珀旭晖,135954元/m2,11套在售二手房,https://sh.lianjia.com/xiaoqu/5011000011036/,2012年建成 ,板楼,7元/平米/月,上海绿地物业服务有限,上海市绿地集团置业有限公司,9,362户
20191030,徐汇,徐汇滨江,保利西岸,141021元/m2,7套在售二手房,https://sh.lianjia.com/xiaoqu/5011000003894/,2014年建成 ,板楼,7至9元/平米/月,上海保利物业管理有限,上海保利建熹房地产有限公司,14,423户
20191030,徐汇,徐汇滨江,民苑小区,79263元/m2,3套在售二手房,https://sh.lianjia.com/xiaoqu/5011000016582/,1999年建成 ,板楼,0.8至1元/平米/月,上海久实物业有限,上海久实房地产发展公司,42,502户
20191030,徐汇,徐汇滨江,樟树苑,53336元/m2,6套在售二手房,https://sh.lianjia.com/xiaoqu/5011000016914/,2000年建成 ,板楼,0.5至1元/平米/月,中乔,上海瀛城实业有限公司,24,267户
20191030,徐汇,徐汇滨江,长峰小区,56250元/m2,3套在售二手房,https://sh.lianjia.com/xiaoqu/5011000015597/,1999年建成 ,板楼,0.8元/平米/月,上海凤梧物业管理有限,上海汇峰房地产开发有限公司,28,368户
20191030,徐汇,徐汇滨江,上飞新村,75415元/m2,2套在售二手房,https://sh.lianjia.com/xiaoqu/5011000009460/,1998年建成 ,板楼,1.5元/平米/月,上浦,上海浦东上南房产有限公司,11,128户
20191030,徐汇,徐汇滨江,苑宏新村,65267元/m2,7套在售二手房,https://sh.lianjia.com/xiaoqu/5011000006644/,1987年建成 ,板楼,0.3元/平米/月,美祥,无,15,526户
20191030,徐汇,徐汇滨江,龙腾大道40号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970721292390/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,徐汇,徐汇滨江,瑞平路12号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970660737831/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,徐汇,徐汇滨江,凯滨路19弄6号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970599658396/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,徐汇,徐汇滨江,龙腾大道2879号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5018156891943518/,2013年建成 ,板楼,12元/平米/月,暂无信息,上海百汇房地产开发有限公司,1,1户
20191030,徐汇,徐汇滨江,百汇园滨江,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5020022691708167/,2013年建成 ,板楼,3.85元/平米/月,上海中星集团申城物业有限,上海百汇房地产开发有限公司,1,36户
