20191030,松江,泗泾,新凯二期,33905元/m2,50套在售二手房,https://sh.lianjia.com/xiaoqu/5011102207146/,2009年建成 ,板楼,1.2至1.45元/平米/月,彩生活,上海新凯房地产开发有限公司,236,4207户
20191030,松江,泗泾,新凯一期,33846元/m2,79套在售二手房,https://sh.lianjia.com/xiaoqu/5020029861847740/,2006年建成 ,板楼,0.8至1.25元/平米/月,上海中星集团申城物业有限,上海新凯房地产开发有限公司,242,3646户
20191030,松江,泗泾,新凯城钟秀苑,31024元/m2,15套在售二手房,https://sh.lianjia.com/xiaoqu/5011000020078/,2012年建成 ,板楼,1.2元/平米/月,上海新凯物业管理,上海新凯房地产开发有限公司,16,1008户
20191030,松江,泗泾,金地褐石苑,41327元/m2,15套在售二手房,https://sh.lianjia.com/xiaoqu/5020038950910368/,2016年建成 ,板楼,2.6元/平米/月,金地,暂无信息,71,2368户
20191030,松江,泗泾,紫薇茗庭,26628元/m2,41套在售二手房,https://sh.lianjia.com/xiaoqu/5011000019930/,2014年建成 ,塔楼/板楼,1.45元/平米/月,上海世江物业管理有限,上海韵意房地产开发有限公司,17,1992户
20191030,松江,泗泾,金港花园(公寓),32631元/m2,58套在售二手房,https://sh.lianjia.com/xiaoqu/5011000014037/,2005年建成 ,板楼,0.7元/平米/月,盛业物业管理有限,上海金厦房地产开发有限公司,132,2099户
20191030,松江,泗泾,新凯城银杏苑,29897元/m2,49套在售二手房,https://sh.lianjia.com/xiaoqu/5011000001067/,2012年建成 ,板楼,1.2元/平米/月,上海玉星物业管理有限,上海新凯房地产开发有限公司,30,1972户
20191030,松江,泗泾,塘和家园德悦苑,26721元/m2,18套在售二手房,https://sh.lianjia.com/xiaoqu/5011000000965/,2014年建成 ,塔楼/板楼,1.45元/平米/月,上海世江物业管理有限,上海韵意房地产开发有限公司,21,1992户
20191030,松江,泗泾,塘和家园德宁苑,28474元/m2,30套在售二手房,https://sh.lianjia.com/xiaoqu/5011000000510/,2014年建成 ,塔楼/板楼,1.1元/平米/月,上海玉星物业管理有限,上海韵意房地产开发有限公司,18,1436户
20191030,松江,泗泾,新凯城尚樱苑,28555元/m2,27套在售二手房,https://sh.lianjia.com/xiaoqu/5011102207063/,2013年建成 ,板楼/塔板结合,1.45元/平米/月,上海玉星物业管理有限,上海新凯房地产开发有限公司,16,1081户
20191030,松江,泗泾,水仙雅苑,29074元/m2,21套在售二手房,https://sh.lianjia.com/xiaoqu/5011000001221/,2013年建成 ,板楼,1.25元/平米/月,上海玉星物业管理有限,上海新凯房地产开发有限公司,13,656户
20191030,松江,泗泾,金地自在城(二期),35541元/m2,66套在售二手房,https://sh.lianjia.com/xiaoqu/5011102207024/,2014年建成 ,板楼,2.6元/平米/月,金地,上海仲骏房地产开发有限公司,61,2258户
20191030,松江,泗泾,同润菲诗艾伦,32311元/m2,117套在售二手房,https://sh.lianjia.com/xiaoqu/5011000014575/,2010年建成 ,塔楼/板楼,1.8元/平米/月,新加坡狮城怡安(上海)物业管理有限,上海垄景房地产开发有限公司,88,3651户
