20191030,松江,叶榭,新源人家,17853元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5020020752430480/,2006年建成 ,板楼,0.5元/平米/月,暂无信息,暂无信息,114,1337户
20191030,松江,叶榭,叶榭强恕小区,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000014452/,1997年建成 ,板楼,暂无信息,暂无信息,暂无信息,9,23户
20191030,松江,叶榭,竹亭路162弄,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/509821540319325/,暂无信息 ,板楼,暂无信息,暂无信息,暂无信息,2,13户
20191030,松江,叶榭,辕门路216号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5016389545930048/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,松江,叶榭,辕门路202号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5016389543047611/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,8户
20191030,松江,叶榭,大叶公路82号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970751701102/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,松江,叶榭,叶校路122号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970538840162/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,2户
20191030,松江,叶榭,车亭公路1358弄239、240号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970475925561/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,松江,叶榭,车亭公路1098弄201号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970475925556/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,松江,叶榭,叶校路503号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970538840164/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,松江,叶榭,叶繁路186号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970538840149/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,松江,叶榭,政府路628号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5020021702630085/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,松江,叶榭,兴业公寓(松江),暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000004269/,2008年建成 ,板楼,2元/平米/月,暂无信息,暂无信息,12,212户
20191030,松江,叶榭,叶政路451弄39号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000000921/,2011年建成 ,未知,暂无信息,暂无信息,暂无信息,1,120户
20191030,松江,叶榭,叶榭世纪花苑,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000011946/,1998年建成 ,板楼,暂无信息,暂无信息,暂无信息,13,16户
20191030,松江,叶榭,镇南路7号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970443681867/,1993年建成 ,板楼,暂无信息,暂无信息,暂无信息,1,17户
20191030,松江,叶榭,官厅路6号,21513元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000019959/,1983年建成 ,板楼,暂无信息,暂无信息,暂无信息,1,24户
