20191030,浦东,大团镇,金玉佳苑,18812元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011063203509/,2008年建成 ,板楼,0.6至1.5元/平米/月,暂无信息,暂无信息,15,186户
20191030,浦东,大团镇,同润蓝美俊庭,22524元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000000345/,2015年建成 ,板楼,2.2至3元/平米/月,上海上房物业管理有限,上海垄汇房地产开发有限公司,287,1189户
20191030,浦东,大团镇,汇民锦苑,18604元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5016389506370329/,2016年建成 ,板楼,暂无信息,暂无信息,暂无信息,36,1092户
20191030,浦东,大团镇,永春中路83弄,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5020033606836626/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,浦东,大团镇,永定南路360弄,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/509821540319518/,1984年建成 ,板楼,暂无信息,暂无信息,暂无信息,1,16户
20191030,浦东,大团镇,永春北路88弄,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5020021526415630/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,浦东,大团镇,永春南路405弄,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/509977363955755/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,浦东,大团镇,永春南路405弄11号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970766905900/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,浦东,大团镇,永春南路168号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011899784933953/,暂无信息 ,板楼,暂无信息,暂无信息,暂无信息,1,1户
20191030,浦东,大团镇,永宁东路99号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5016389506370306/,1980年建成 ,板楼,暂无信息,暂无信息,暂无信息,1,20户
20191030,浦东,大团镇,永春北路166号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5020025607924981/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,浦东,大团镇,南三支路70号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5020021613467695/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,浦东,大团镇,永晖路76弄,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000019535/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,2,2户
20191030,浦东,大团镇,永春中路135弄,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011063203495/,1982年建成 ,板楼,暂无信息,暂无信息,暂无信息,1,24户
20191030,浦东,大团镇,军民新村(永定北路),暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5020033158917777/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,18户
20191030,浦东,大团镇,永春北路127弄,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5020020499708016/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,浦东,大团镇,洪田路1号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5020025319558488/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,浦东,大团镇,永春北路215号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5020020474519213/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,浦东,大团镇,永宁东路88号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5020024200300146/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,浦东,大团镇,永春中路169号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5016389543047361/,1982年建成 ,未知,暂无信息,暂无信息,暂无信息,2,2户
20191030,浦东,大团镇,墩荣路173号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011654631272605/,1986年建成 ,板楼,暂无信息,暂无信息,暂无信息,2,16户
20191030,浦东,大团镇,洪通路208号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970508169636/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,浦东,大团镇,永定南路376弄,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011102206568/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,浦东,大团镇,上塘街227号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012766249234740/,暂无信息 ,板楼,暂无信息,暂无信息,暂无信息,1,1户
20191030,浦东,大团镇,永春南路405弄15支弄,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5016389495337626/,2003年建成 ,板楼,暂无信息,暂无信息,暂无信息,3,24户
20191030,浦东,大团镇,永晖路76弄54-1号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970766905922/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,浦东,大团镇,永晖路76弄14号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970766905921/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,浦东,大团镇,永春北路244弄,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/509977363956226/,1911年建成 ,板楼,暂无信息,暂无信息,暂无信息,11,11户
20191030,浦东,大团镇,南团公路1813号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970675942046/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,浦东,大团镇,永定南路160弄,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5020021881939841/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,3,3户
20191030,浦东,大团镇,三墩花苑,16969元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011102206622/,2000年建成 ,板楼,0.6元/平米/月,暂无信息,暂无信息,9,72户
20191030,浦东,大团镇,汇金星城,17772元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5014941989121723/,2014年建成 ,板楼,暂无信息,暂无信息,暂无信息,13,147户
20191030,浦东,大团镇,金团花苑,18107元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/509821540057642/,2003年建成 ,板楼,0.6元/平米/月,暂无信息,暂无信息,5,40户
20191030,浦东,大团镇,新四平公路2380号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000012210/,1997年建成 ,板楼,暂无信息,暂无信息,暂无信息,25,25户
20191030,浦东,大团镇,芦洋花园,18122元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000018684/,1985年建成 ,板楼,0.5元/平米/月,暂无信息,暂无信息,21,242户
20191030,浦东,大团镇,南湾新村,15972元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000000183/,1982年建成 ,板楼,0.5元/平米/月,暂无信息,暂无信息,57,693户
20191030,浦东,大团镇,爱家新城,18383元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000000607/,2007年建成 ,板楼,1.2元/平米/月,暂无信息,暂无信息,97,1296户
