20191030,浦东,合庆,环庆新苑,32697元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000009871/,2004年建成 ,板楼,0.5元/平米/月,绮云,上海浦东新区合庆房地产有限公司,67,804户
20191030,浦东,合庆,青客公寓幸福里,35636元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011102205778/,2013年建成 ,板楼,暂无信息,暂无信息,北京旺都置业有限公司,15,675户
20191030,浦东,合庆,金盛佳苑,37385元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000012451/,2006年建成 ,板楼,0.7元/平米/月,盛和,上海浦东唐安房地产开发有限公司,60,720户
20191030,浦东,合庆,前哨路198弄,27181元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000004358/,1995年建成 ,板楼,0.3元/平米/月,上海合蔡物业管理有限,上海安都房地产发展有限公司,44,470户
20191030,浦东,合庆,前哨路288弄,27958元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000000796/,1995年建成 ,板楼,0.46元/平米/月,上海合蔡物业管理有限,上海安都房地产发展有限公司,62,706户
20191030,浦东,合庆,海湾新城,30451元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000018777/,2009年建成 ,板楼,0.54元/平米/月,宸微,上海国飞绿色置业有限公司,103,1692户
20191030,浦东,合庆,农房唐镇壹号,46059元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011063899732/,2015年建成 ,板楼,2.8至4元/平米/月,万都物业发展有限公司 ,上海冠利虹置业有限公司,31,540户
20191030,浦东,合庆,胜利小区(浦东),27185元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000016515/,1995年建成 ,板楼,0.5元/平米/月,上海北方物业管理有限,江苏南通三建集团有限公司,20,288户
20191030,浦东,合庆,大湾名苑,31095元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000004293/,2011年建成 ,板楼,1.2元/平米/月,上海浦东利群物业有限,上海天歌华庭置业有限公司,73,876户
20191030,浦东,合庆,远东小区,28472元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000014648/,1998年建成 ,板楼,0.35元/平米/月,无,上海安都房地产发展有限公司,50,584户
20191030,浦东,合庆,明星花苑,47175元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000013906/,1992年建成 ,板楼,0.39元/平米/月,上海新明星物业管理有限,暂无信息,57,57户
20191030,浦东,合庆,南华家宅,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011102205930/,暂无信息 ,板楼,暂无信息,暂无信息,暂无信息,2,2户
20191030,浦东,合庆,美庆大厦,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011102208230/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,2户
20191030,浦东,合庆,置天1号广场,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5020037979610951/,暂无信息 ,板楼,3元/平米/月,上海振群物业有限,上海置天实业有限公司浦东分公司,1,80户
20191030,浦东,合庆,向东村四队宋家宅,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5020024703797746/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,浦东,合庆,川沙路3271号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5020026358182704/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,浦东,合庆,奚家村奚家宅,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5020020700000267/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,浦东,合庆,庆丰村二队龚家宅,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5020021964779492/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,2,2户
20191030,浦东,合庆,奚家村张杨家宅17号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5020021981556745/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,浦东,合庆,营房村一队青宴一宅,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5020021156162983/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
