20191030,浦东,宣桥,艺泰安邦,25600元/m2,110套在售二手房,https://sh.lianjia.com/xiaoqu/5011000012807/,2006年建成 ,板楼,1.4元/平米/月,上海文化银湾物业管理有限,上海刚泰房地产发展有限公司,151,4421户
20191030,浦东,宣桥,莱茵美墅,32902元/m2,12套在售二手房,https://sh.lianjia.com/xiaoqu/5011000011233/,2010年建成 ,塔楼/板楼,3.5元/平米/月,上海芸绮物业管理有限,上海莱茵达置业有限公司,110,161户
20191030,浦东,宣桥,九九别墅（南苑）,43172元/m2,5套在售二手房,https://sh.lianjia.com/xiaoqu/5011000016424/,2005年建成 ,板楼,2.5元/平米/月,上海枫丹白露物业有限,上海名流置业有限公司,68,68户
20191030,浦东,宣桥,海志花苑,21901元/m2,2套在售二手房,https://sh.lianjia.com/xiaoqu/5011000009387/,2010年建成 ,板楼,0.8元/平米/月,暂无信息,上海盛欣房地产开发经营公司,12,104户
20191030,浦东,宣桥,欣兰苑,21806元/m2,3套在售二手房,https://sh.lianjia.com/xiaoqu/5011000010191/,2007年建成 ,板楼,0.8元/平米/月,上海宣桥物业管理有限,上海普恒实业发展有限公司,68,916户
20191030,浦东,宣桥,欣秋苑,21513元/m2,6套在售二手房,https://sh.lianjia.com/xiaoqu/5011000009477/,2008年建成 ,板楼,0.8元/平米/月,上海宣桥物业管理有限,上海普恒实业发展有限公司,37,919户
20191030,浦东,宣桥,欣春苑,21600元/m2,10套在售二手房,https://sh.lianjia.com/xiaoqu/5011000012747/,2009年建成 ,板楼,0.8元/平米/月,上海宣桥物业管理有限,上海普恒实业发展有限公司,44,845户
20191030,浦东,宣桥,欣松苑,21305元/m2,9套在售二手房,https://sh.lianjia.com/xiaoqu/5011000004921/,2007年建成 ,板楼,0.8元/平米/月,上海宣桥物业管理有限,上海普恒实业发展有限公司,61,756户
20191030,浦东,宣桥,欣菊苑,21038元/m2,11套在售二手房,https://sh.lianjia.com/xiaoqu/5011000000654/,2008年建成 ,板楼,0.8元/平米/月,上海宣桥物业管理有限,上海普恒实业发展有限公司,50,702户
20191030,浦东,宣桥,南六公路699弄1支弄34号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970675941941/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,浦东,宣桥,南六公路699弄3支弄841号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970675941948/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,浦东,宣桥,南六公路699弄3支弄122号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5013353619829574/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,浦东,宣桥,沪南公路8912号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970706350289/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,2户
20191030,浦东,宣桥,盛镛智慧科技园,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5020030303425155/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,7,14户
20191030,浦东,宣桥,香树湾,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5020026685541880/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,浦东,宣桥,南六公路699弄1支弄146号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5013512198335682/,暂无信息 ,板楼,暂无信息,暂无信息,暂无信息,1,1户
20191030,浦东,宣桥,宣中路699弄14号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5014417892749367/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,浦东,宣桥,南六公路669弄1支弄6号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970675941934/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,浦东,宣桥,南六公路699弄1支弄6号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970675941942/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,浦东,宣桥,上海泓上,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5020021481325619/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,4,4户
20191030,浦东,宣桥,宣黄公路386号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5020027926523081/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,浦东,宣桥,宣中路699弄15号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5014418121339868/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,浦东,宣桥,宣中路657号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5015365358258355/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,2户
20191030,浦东,宣桥,南六公路699弄4支弄365号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970675941952/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,浦东,宣桥,亦园路74弄,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012648428875148/,1995年建成 ,板楼,暂无信息,暂无信息,暂无信息,4,60户
20191030,浦东,宣桥,祝桥公乐城174号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970691146641/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,浦东,宣桥,南六公路6993支弄177号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970675941937/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,浦东,宣桥,南六公路345号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970675941932/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
