20191030,浦东,杨东,上海绿城,91758元/m2,56套在售二手房,https://sh.lianjia.com/xiaoqu/5011000018191/,2004年建成 ,塔楼/板楼,3.55元/平米/月,上海绿宇物业管理有限,上海绿宇房地产开发有限公司,80,2758户
20191030,浦东,杨东,爱家亚洲花园,69554元/m2,19套在售二手房,https://sh.lianjia.com/xiaoqu/5011000016222/,2004年建成 ,板楼,3.1元/平米/月,上海万科物业管理有限,上海爱家房地产有限公司,32,1186户
20191030,浦东,杨东,锦绣满堂花园,81548元/m2,15套在售二手房,https://sh.lianjia.com/xiaoqu/5011000010239/,2005年建成 ,塔楼/板楼,2.45至3.18元/平米/月,上海上房物业有限,上海隆宇企业发展有限公司,24,1136户
20191030,浦东,杨东,东城新村,73381元/m2,21套在售二手房,https://sh.lianjia.com/xiaoqu/5011000016517/,1999年建成 ,塔楼/板楼,0.8元/平米/月,上海陆家嘴物业管理有限,上海由由集团股份有限公司,150,2721户
20191030,浦东,杨东,陆家嘴中央公寓,94201元/m2,14套在售二手房,https://sh.lianjia.com/xiaoqu/5011000016189/,2006年建成 ,板楼,2.85至3.8元/平米/月,上海仁恒物业管理有限,上海陆家嘴联合房地产有限公司,29,1176户
20191030,浦东,杨东,东方龙苑,73824元/m2,9套在售二手房,https://sh.lianjia.com/xiaoqu/5011000014434/,2000年建成 ,板楼,1.48元/平米/月,上海北方物业管理有限,上海佳能房地产开发有限公司,27,649户
20191030,浦东,杨东,涵合园(公寓),73628元/m2,22套在售二手房,https://sh.lianjia.com/xiaoqu/5011000015691/,2004年建成 ,板楼,1.85至2.4元/平米/月,陆家嘴,陆家嘴集团·上海张杨商业建设联合发展有限公司,53,955户
20191030,浦东,杨东,香梅花园(三-五期),89039元/m2,16套在售二手房,https://sh.lianjia.com/xiaoqu/5020029411867281/,2006年建成 ,板楼,3.5至3.6元/平米/月,上海万科物业管理有限,金大元集团(上海)有限公司,20,937户
20191030,浦东,杨东,锦绣天第花园,83383元/m2,9套在售二手房,https://sh.lianjia.com/xiaoqu/5011000012796/,2001年建成 ,板楼,1.8元/平米/月,上海证大物业管理有限,上海隆宇企业发展有限公司,55,1017户
20191030,浦东,杨东,香梅花园,79141元/m2,16套在售二手房,https://sh.lianjia.com/xiaoqu/5011000004689/,2004年建成 ,板楼,3.8元/平米/月,上海绿城物业管理有限,金大元集团(上海)有限公司,20,1057户
20191030,浦东,杨东,锦绣一方名苑,68906元/m2,12套在售二手房,https://sh.lianjia.com/xiaoqu/5011000012239/,2002年建成 ,板楼,1.2至1.35元/平米/月,上海公益物业管理有限,上海一方置业发展有限公司,31,500户
