20191030,浦东,祝桥,朗诗未来树,35617元/m2,29套在售二手房,https://sh.lianjia.com/xiaoqu/5011000004037/,2013年建成 ,板楼,2.1元/平米/月,朗诗,上海朗宏置业有限公司,104,1324户
20191030,浦东,祝桥,祝安苑,28240元/m2,6套在售二手房,https://sh.lianjia.com/xiaoqu/5011000004166/,2012年建成 ,板楼,0.6至1元/平米/月,上海南汇惠房物业管理有限,上海祝桥新镇投资发展有限公司,138,2194户
20191030,浦东,祝桥,祝和苑,27168元/m2,6套在售二手房,https://sh.lianjia.com/xiaoqu/5011000007262/,2009年建成 ,板楼,0.6至1.2元/平米/月,上海南汇惠房物业管理有限,上海祝桥新镇投资发展有限公司,204,2640户
20191030,浦东,祝桥,千汇苑二村,30706元/m2,3套在售二手房,https://sh.lianjia.com/xiaoqu/5011000000641/,2007年建成 ,板楼,0.6元/平米/月,祝桥镇物业有限,上海祝桥新镇投资发展有限公司,129,1326户
20191030,浦东,祝桥,千汇苑一村,29012元/m2,10套在售二手房,https://sh.lianjia.com/xiaoqu/5011000011533/,2007年建成 ,板楼,0.3至0.6元/平米/月,祝桥镇物业有限,上海祝桥新镇投资发展有限公司,149,1538户
20191030,浦东,祝桥,东港花苑三村,22538元/m2,4套在售二手房,https://sh.lianjia.com/xiaoqu/5011063203642/,1997年建成 ,板楼,0.5元/平米/月,祝桥镇物业有限,上海祝桥新镇投资发展有限公司,132,1311户
20191030,浦东,祝桥,千汇苑,27509元/m2,2套在售二手房,https://sh.lianjia.com/xiaoqu/5011000011324/,2007年建成 ,板楼,0.5元/平米/月,祝桥镇物业有限,上海祝桥新镇投资发展有限公司,66,1568户
20191030,浦东,祝桥,朝农新村,21443元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000000203/,1976年建成 ,板楼,暂无信息,暂无信息,暂无信息,99,1137户
20191030,浦东,祝桥,大沙路16-32号(双),暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/509821540319454/,2002年建成 ,板楼,暂无信息,暂无信息,暂无信息,4,21户
20191030,浦东,祝桥,东翔路80弄,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000002745/,2000年建成 ,板楼,暂无信息,暂无信息,暂无信息,1,1户
20191030,浦东,祝桥,盐大路2711号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970523374513/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,浦东,祝桥,沿路街56号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5016389506370244/,1981年建成 ,板楼,暂无信息,暂无信息,暂无信息,1,18户
20191030,浦东,祝桥,南极花苑,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5020023641055879/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
