20191030,金山,石化,石化十三村(金山),13176元/m2,4套在售二手房,https://sh.lianjia.com/xiaoqu/5011000018695/,1986年建成 ,板楼,0.95元/平米/月,暂无信息,暂无信息,40,618户
20191030,金山,石化,石化六村,15223元/m2,11套在售二手房,https://sh.lianjia.com/xiaoqu/5011000002246/,1967年建成 ,板楼,0.5元/平米/月,上海临南物业管理有限,上海城建集团,60,1031户
20191030,金山,石化,石化七村,15916元/m2,11套在售二手房,https://sh.lianjia.com/xiaoqu/5011000005128/,1979年建成 ,板楼,0.5元/平米/月,自主,暂无信息,74,1385户
20191030,金山,石化,石化十村,15603元/m2,13套在售二手房,https://sh.lianjia.com/xiaoqu/5011000015706/,1981年建成 ,板楼,暂无信息,无,暂无信息,154,1793户
20191030,金山,石化,石化八村,13879元/m2,7套在售二手房,https://sh.lianjia.com/xiaoqu/5011000001953/,1985年建成 ,板楼,0.95元/平米/月,暂无信息,暂无信息,32,492户
20191030,金山,石化,海棠新村,15981元/m2,29套在售二手房,https://sh.lianjia.com/xiaoqu/5011000014634/,1988年建成 ,板楼,0.5元/平米/月,上海辰展物业管理有限,暂无信息,156,2295户
20191030,金山,石化,盛安大楼,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/509977363956011/,1994年建成 ,塔楼,暂无信息,暂无信息,暂无信息,1,220户
20191030,金山,石化,龙胜路540号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970721292378/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,金山,石化,卫零路415号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000006545/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,金山,石化,卫清西路608号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970614862289/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,金山,石化,卫零路205号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970614862265/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,3户
20191030,金山,石化,沪杭公路8484弄,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5016389398891459/,1992年建成 ,未知,暂无信息,暂无信息,暂无信息,1,4户
20191030,金山,石化,蒙山路1000号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970584453680/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,金山,石化,金零路128号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970554044783/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,金山,石化,金一东路250号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970751701789/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,金山,石化,卫零路384号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970614862269/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,金山,石化,卫清路685号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970614862274/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,金山,石化,新城路16号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5016389398891375/,暂无信息 ,板楼,暂无信息,暂无信息,暂无信息,1,28户
20191030,金山,石化,卫清西路591号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970614862286/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,金山,石化,卫清西路589号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970614862285/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,金山,石化,柳城路44、46、48号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970706350904/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,金山,石化,湘港大酒店,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5013758099631688/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,金山,石化,沪杭公路8758号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970706350234/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,金山,石化,新城路291号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970736496855/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,金山,石化,蒙山路1522号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5016389506369683/,2005年建成 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,金山,石化,老卫清路162号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5016389545929952/,1993年建成 ,板楼,暂无信息,暂无信息,暂无信息,1,20户
20191030,金山,石化,卫零路126号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970614862262/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,金山,石化,卫青路465号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970614862272/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,金山,石化,富川路40弄,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000007406/,1988年建成 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,金山,石化,北随塘河路250号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970584453957/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,5户
20191030,金山,石化,盛安大楼,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/509977363956011/,1994年建成 ,塔楼,暂无信息,暂无信息,暂无信息,1,220户
20191030,金山,石化,圣普商务大楼,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011102206052/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,6户
20191030,金山,石化,广安小区,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000001201/,2001年建成 ,板楼,0.82元/平米/月,暂无信息,暂无信息,3,512户
20191030,金山,石化,新金山路530弄,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5016226923064783/,1999年建成 ,板楼,暂无信息,暂无信息,暂无信息,5,40户
20191030,金山,石化,卫清西路355号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000008835/,2007年建成 ,板楼,暂无信息,暂无信息,暂无信息,1,37户
20191030,金山,石化,禾龙商务大厦,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000015243/,2008年建成 ,未知,暂无信息,暂无信息,暂无信息,1,187户
20191030,金山,石化,东街32弄,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5016389501104029/,1981年建成 ,板楼,暂无信息,暂无信息,暂无信息,4,53户
20191030,金山,石化,蒙山路1121弄,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5016389545930030/,2002年建成 ,未知,暂无信息,暂无信息,暂无信息,2,3户
20191030,金山,石化,蓝堡爱琴海,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/509977363956171/,2005年建成 ,板楼,暂无信息,无,暂无信息,1,1户
20191030,金山,石化,卫清西路532号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970614862282/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,2户
20191030,金山,石化,金山首座禾龙大厦,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000003546/,2002年建成 ,未知,暂无信息,暂无信息,暂无信息,2,108户
20191030,金山,石化,蒙山路1109弄18号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970584453681/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,3户
20191030,金山,石化,卫零路501弄,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5016389495337650/,1998年建成 ,板楼,0.8元/平米/月,暂无信息,暂无信息,4,48户
20191030,金山,石化,龙胜大楼,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011102206053/,暂无信息 ,板楼,暂无信息,暂无信息,暂无信息,1,200户
20191030,金山,石化,卫清西路418号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5016049893552418/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,金山,石化,临安大楼,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000019427/,1990年建成 ,板楼,0.5元/平米/月,暂无信息,暂无信息,1,100户
20191030,金山,石化,芸海大楼,17372元/m2,2套在售二手房,https://sh.lianjia.com/xiaoqu/5016389506369585/,1994年建成 ,塔楼,暂无信息,暂无信息,暂无信息,1,102户
20191030,金山,石化,广宇大楼,暂无,1套在售二手房,https://sh.lianjia.com/xiaoqu/5011000000069/,1990年建成 ,塔楼,暂无信息,暂无信息,暂无信息,1,128户
20191030,金山,石化,东平南路635弄,18012元/m2,1套在售二手房,https://sh.lianjia.com/xiaoqu/5016389501103991/,2011年建成 ,板楼,暂无信息,暂无信息,暂无信息,4,40户
20191030,金山,石化,棕榈湾花园,26620元/m2,5套在售二手房,https://sh.lianjia.com/xiaoqu/5011000017382/,2004年建成 ,板楼,0.8元/平米/月,上海市上海棕榈湾物业管理有限,上海思致置业有限公司,49,878户
20191030,金山,石化,鸿海大楼,20481元/m2,2套在售二手房,https://sh.lianjia.com/xiaoqu/5011000019676/,1994年建成 ,塔楼,暂无信息,暂无信息,暂无信息,1,102户
20191030,金山,石化,华鼎大楼,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000019740/,1987年建成 ,板楼,暂无信息,暂无信息,暂无信息,1,120户
20191030,金山,石化,富川大楼,17445元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000018534/,1994年建成 ,板楼,暂无信息,暂无信息,暂无信息,1,100户
20191030,金山,石化,山鑫公寓,18354元/m2,14套在售二手房,https://sh.lianjia.com/xiaoqu/5011000018526/,1996年建成 ,板楼,0.67元/平米/月,暂无信息,暂无信息,76,975户
20191030,金山,石化,海安大楼,19608元/m2,1套在售二手房,https://sh.lianjia.com/xiaoqu/5011000019419/,1990年建成 ,板楼,暂无信息,暂无信息,暂无信息,1,100户
20191030,金山,石化,梅州大楼,暂无,1套在售二手房,https://sh.lianjia.com/xiaoqu/5011000019648/,1992年建成 ,塔楼,0.8元/平米/月,暂无信息,暂无信息,1,126户
20191030,金山,石化,三岛龙州苑,22935元/m2,11套在售二手房,https://sh.lianjia.com/xiaoqu/5011000013937/,2004年建成 ,板楼,0.75元/平米/月,暂无信息,暂无信息,67,1253户
20191030,金山,石化,石化三村,14155元/m2,5套在售二手房,https://sh.lianjia.com/xiaoqu/5011000009037/,1976年建成 ,板楼,0.4元/平米/月,暂无信息,暂无信息,51,1025户
20191030,金山,石化,石化十一村,12654元/m2,6套在售二手房,https://sh.lianjia.com/xiaoqu/5011000010380/,1983年建成 ,板楼,0.8元/平米/月,上海临南物业管理有限,无,71,1098户
20191030,金山,石化,德安大楼,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000019256/,1994年建成 ,板楼,暂无信息,暂无信息,暂无信息,1,180户
20191030,金山,石化,临潮二村,17080元/m2,2套在售二手房,https://sh.lianjia.com/xiaoqu/5011000018655/,1991年建成 ,板楼,0.8元/平米/月,暂无信息,暂无信息,181,959户
20191030,金山,石化,广厦大楼,14767元/m2,1套在售二手房,https://sh.lianjia.com/xiaoqu/5011000008634/,1994年建成 ,塔楼,暂无信息,暂无信息,暂无信息,1,199户
20191030,金山,石化,辰凯紫藤苑,18947元/m2,2套在售二手房,https://sh.lianjia.com/xiaoqu/5011000000949/,2003年建成 ,板楼,0.7元/平米/月,暂无信息,暂无信息,11,123户
20191030,金山,石化,隆安大楼,18184元/m2,3套在售二手房,https://sh.lianjia.com/xiaoqu/5011000019562/,1994年建成 ,塔楼,暂无信息,暂无信息,暂无信息,1,220户
20191030,金山,石化,园中苑,暂无,1套在售二手房,https://sh.lianjia.com/xiaoqu/5011000005582/,2001年建成 ,板楼,0.4元/平米/月,暂无信息,暂无信息,34,143户
