20191030,金山,朱泾,华光紫荆苑,23765元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000004176/,2004年建成 ,板楼,0.8元/平米/月,上海华榭物业管理有限,上海华邸房地产发展有限公司,82,1035户
20191030,金山,朱泾,金龙新街739弄39号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5020021884042990/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,金山,朱泾,沈浦泾路442号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970766906239/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,金山,朱泾,新中路719号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970630066509/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,金山,朱泾,康健路32弄,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5016389506370111/,1988年建成 ,未知,暂无信息,暂无信息,暂无信息,1,8户
20191030,金山,朱泾,临仓街480弄,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5016389543047290/,2004年建成 ,板楼,暂无信息,暂无信息,暂无信息,3,24户
20191030,金山,朱泾,临仓街210号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5016389558274246/,1993年建成 ,未知,暂无信息,暂无信息,暂无信息,1,2户
20191030,金山,朱泾,金龙新街348弄12号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5020021509637536/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,22户
20191030,金山,朱泾,万安街319号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5016389495337698/,1996年建成 ,板楼,暂无信息,暂无信息,暂无信息,1,11户
20191030,金山,朱泾,万安街988号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5016389495337953/,1998年建成 ,板楼,暂无信息,暂无信息,暂无信息,1,15户
20191030,金山,朱泾,金张公路135号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5016389501104059/,2001年建成 ,板楼,暂无信息,暂无信息,暂无信息,1,12户
20191030,金山,朱泾,卫生公寓,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000014008/,1982年建成 ,板楼,暂无信息,暂无信息,暂无信息,2,21户
20191030,金山,朱泾,万安街994号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5016389506369829/,1990年建成 ,板楼,暂无信息,暂无信息,暂无信息,1,10户
20191030,金山,朱泾,万安街289号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5016389371080679/,1996年建成 ,板楼,暂无信息,暂无信息,暂无信息,1,11户
20191030,金山,朱泾,西林街44号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5016389543047362/,1996年建成 ,未知,暂无信息,暂无信息,暂无信息,1,5户
20191030,金山,朱泾,临仓街422号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970492703489/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,金山,朱泾,金龙新街1211号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970554044786/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,金山,朱泾,金龙新街941弄161号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970554044810/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,金山,朱泾,西林街186号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970508170174/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
