20191030,闵行,马桥,绿城玫瑰园,67055元/m2,29套在售二手房,https://sh.lianjia.com/xiaoqu/5011000017805/,2007年建成 ,板楼,6.5元/平米/月,上海绿城物业有限,上海绿城森林高尔夫别墅开发有限公司,229,229户
20191030,闵行,马桥,中星红庐,76159元/m2,4套在售二手房,https://sh.lianjia.com/xiaoqu/5011000014641/,2012年建成 ,板楼,8元/平米/月,戴德梁行物业有限,上海闵润置业有限公司,137,173户
20191030,闵行,马桥,富岩路230弄,31937元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000019611/,2008年建成 ,板楼,1.1元/平米/月,马兴,上海申马房地产实业有限公司,16,160户
20191030,闵行,马桥,马桥西街小区,23213元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000014361/,1999年建成 ,板楼,0.45元/平米/月,中庭,上海申马房地产实业有限公司,55,652户
20191030,闵行,马桥,御涛园,47764元/m2,9套在售二手房,https://sh.lianjia.com/xiaoqu/5011000012824/,2010年建成 ,板楼,6.8元/平米/月,上海景瑞物业管理有限,上海旗龙置业有限公司,192,193户
20191030,闵行,马桥,中房森林别墅,40707元/m2,15套在售二手房,https://sh.lianjia.com/xiaoqu/5011000014078/,2006年建成 ,板楼,6元/平米/月,第一太平戴维斯物业顾问（上海）有限,上海中房北阳房产有限公司,198,198户
20191030,闵行,马桥,东新街1号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5014164740549957/,1985年建成 ,板楼,暂无信息,上海新上海商业城物业有限,上海南上海动拆迁置业有限公司,1,24户
20191030,闵行,马桥,红庐雅颂别墅,56249元/m2,3套在售二手房,https://sh.lianjia.com/xiaoqu/5016389501103797/,2000年建成 ,板楼,5元/平米/月,戴德梁行物业管理有限,上海闵润置业有限公司,83,83户
20191030,闵行,马桥,马桥镇西街8号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5010428443012194/,1995年建成 ,板楼,暂无信息,上海远洋,上海南上海动拆迁置业有限公司,1,12户
20191030,闵行,马桥,敬南路251弄,29937元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011102206864/,2015年建成 ,板楼,暂无信息,暂无信息,上海南上海动拆迁置业有限公司,34,414户
20191030,闵行,马桥,山水世纪,43962元/m2,10套在售二手房,https://sh.lianjia.com/xiaoqu/5011000016374/,1998年建成 ,板楼,3元/平米/月,上海通翼物业有限,上海旗忠房地产开发经营公司,179,179户
20191030,闵行,马桥,长岛别墅,39445元/m2,8套在售二手房,https://sh.lianjia.com/xiaoqu/5011000016770/,2002年建成 ,板楼,4元/平米/月,上海普瑞物业管理有限,上海人济置业发展有限公司,115,115户
20191030,闵行,马桥,富岩路4号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/509821540319358/,1994年建成 ,板楼,暂无信息,暂无信息,暂无信息,1,18户
20191030,闵行,马桥,新街15号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5016389501103304/,1986年建成 ,板楼,暂无信息,暂无信息,暂无信息,1,12户
20191030,闵行,马桥,东新街12号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5013697269116788/,1985年建成 ,板楼,0.5元/平米/月,暂无信息,上海南上海动拆迁置业有限公司,1,1户
20191030,闵行,马桥,裕隆花园,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5016815602282683/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,6,6户
20191030,闵行,马桥,元和路181弄,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5020023338951500/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,闵行,马桥,富岩路45号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012202228069025/,暂无信息 ,板楼,暂无信息,暂无信息,暂无信息,1,8户
20191030,闵行,马桥,东街17号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5010797698527489/,暂无信息 ,板楼,暂无信息,暂无信息,暂无信息,1,12户
20191030,闵行,马桥,青年路192号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5016389501103117/,1993年建成 ,未知,暂无信息,暂无信息,暂无信息,1,8户
20191030,闵行,马桥,敬南路2号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5016389506370105/,1997年建成 ,板楼,暂无信息,暂无信息,暂无信息,1,12户
20191030,闵行,马桥,星星村星星苑,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5020022920407496/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,闵行,马桥,元江路4805弄,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5020021204397240/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,2,2户
20191030,闵行,马桥,青杉路337号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5020026672928561/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
