20191030,青浦,白鹤,绿地时代名邸,23130元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011102207525/,2006年建成 ,板楼,1.7元/平米/月,上海永绿置业有限,上海绿地集团青浦置业有限公司,41,2416户
20191030,青浦,白鹤,绿地启航城,23569元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000001967/,2007年建成 ,塔楼/板楼,1.5至3.3元/平米/月,上海永绿物业管理有限,上海绿地集团青浦置业有限公司,31,2242户
20191030,青浦,白鹤,绿地时代嘉苑,22313元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5015867777945213/,2015年建成 ,板楼,1.6元/平米/月,上海永绿置业有限,暂无信息,15,1029户
20191030,青浦,白鹤,屯北新村,17702元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000019653/,1980年建成 ,板楼,0.6元/平米/月,暂无信息,暂无信息,16,100户
20191030,青浦,白鹤,镇南小区,17070元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000000031/,1997年建成 ,板楼,0.3元/平米/月,万达,万达集团,40,467户
20191030,青浦,白鹤,外青松公路2900号,16149元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5016389398891518/,1998年建成 ,板楼,暂无信息,暂无信息,暂无信息,1,10户
20191030,青浦,白鹤,赵江路31弄,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000019406/,暂无信息 ,板楼,暂无信息,暂无信息,暂无信息,2,19户
20191030,青浦,白鹤,青赵路6666弄289号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970660737363/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,3户
20191030,青浦,白鹤,鹤如路55弄,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5016389501103370/,1998年建成 ,未知,暂无信息,暂无信息,暂无信息,1,5户
20191030,青浦,白鹤,卓越世纪中心(商铺),暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011102208062/,2012年建成 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,青浦,白鹤,鹤如路97号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5016389495337941/,1998年建成 ,板楼,暂无信息,暂无信息,暂无信息,1,10户
20191030,青浦,白鹤,梅鹤路434号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5016389506370546/,2004年建成 ,未知,暂无信息,暂无信息,暂无信息,1,4户
20191030,青浦,白鹤,梅鹤路186号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5016389543047349/,2004年建成 ,未知,暂无信息,暂无信息,暂无信息,1,4户
20191030,青浦,白鹤,梅鹤路142号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5016389543047648/,2004年建成 ,未知,暂无信息,暂无信息,暂无信息,1,4户
20191030,青浦,白鹤,鹤祥路401弄,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5016389495337130/,1997年建成 ,板楼,暂无信息,暂无信息,暂无信息,3,32户
20191030,青浦,白鹤,鹤祥路418弄,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5016389495337477/,1998年建成 ,板楼,暂无信息,暂无信息,暂无信息,2,12户
20191030,青浦,白鹤,红梅路3911号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970508169321/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,青浦,白鹤,南街111弄,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5016389495337971/,1998年建成 ,未知,暂无信息,暂无信息,暂无信息,5,7户
20191030,青浦,白鹤,梅桥街139号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970584453652/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,青浦,白鹤,微家国际青年社区,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5020034391480233/,暂无信息 ,塔板结合,暂无信息,上海永绿物业管理有限,绿地集团上海青浦置业有限公司,1,50户
20191030,青浦,白鹤,屯溪公寓,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/509821540057273/,2003年建成 ,未知,暂无信息,上海新青浦物业管理有限,暂无信息,2,25户
20191030,青浦,白鹤,民惠佳苑三期,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/50000000000983/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,青浦,白鹤,鹤如路99号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5016389545929816/,1998年建成 ,板楼,暂无信息,暂无信息,暂无信息,1,10户
20191030,青浦,白鹤,赵江路208弄,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5020026691832334/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,青浦,白鹤,新桥路661号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5020026196703728/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,青浦,白鹤,外青松公路2772弄,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000019605/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,青浦,白鹤,鹤祥路181弄,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000019176/,1989年建成 ,板楼,暂无信息,暂无信息,暂无信息,4,40户
20191030,青浦,白鹤,白石路2659弄,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000019259/,1998年建成 ,板楼,暂无信息,暂无信息,暂无信息,5,36户
