20191030,青浦,重固,万科尚景苑(公寓),31572元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000001091/,2012年建成 ,板楼,2.5元/平米/月,上海万科物业管理有限,上海重万置业有限公司,30,634户
20191030,青浦,重固,夏阳金城,25608元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000012949/,2005年建成 ,板楼,0.7元/平米/月,上实物业管理（上海）有限,上海越盛房地产开发有限公司,58,551户
20191030,青浦,重固,陈华港小区,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5016389543047665/,1980年建成 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,青浦,重固,赵重公路2777号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970799411372/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,2户
20191030,青浦,重固,福中路298号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970475926408/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,青浦,重固,重固镇路508号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970691146521/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,青浦,重固,赵重公路2777弄19号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970799411375/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,青浦,重固,万事发公寓,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000005135/,1999年建成 ,板楼,暂无信息,暂无信息,暂无信息,3,3户
20191030,青浦,重固,万科红,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000005031/,暂无信息 ,未知,暂无信息,万科,上海重万置业有限公司,1,60户
20191030,青浦,重固,福中路315弄,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000020137/,1999年建成 ,板楼,暂无信息,暂无信息,暂无信息,2,17户
20191030,青浦,重固,福泉山路95号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5020024353428769/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,青浦,重固,福泉二村,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/509821540057850/,暂无信息 ,板楼,暂无信息,暂无信息,暂无信息,5,12户
20191030,青浦,重固,西郊商业领岸(商铺),暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000002961/,2014年建成 ,未知,暂无信息,上海意邦物业管理有限,意邦集团,14,1366户
20191030,青浦,重固,北青公路6388号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970584453931/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1697户
20191030,青浦,重固,重固大街588号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5020027895065249/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,青浦,重固,重固新世纪商业广场,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000001834/,2012年建成 ,未知,暂无信息,暂无信息,暂无信息,4,235户
20191030,青浦,重固,福泉山路425弄,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000019569/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
