20191030,青浦,华新,欣乐苑,31970元/m2,34套在售二手房,https://sh.lianjia.com/xiaoqu/509821540057269/,2008年建成 ,板楼,0.5至1.27元/平米/月,无,暂无信息,111,2768户
20191030,青浦,华新,海棠馨苑,35763元/m2,17套在售二手房,https://sh.lianjia.com/xiaoqu/5010726255636604/,2015年建成 ,板楼,1.2元/平米/月,暂无信息,暂无信息,23,841户
20191030,青浦,华新,徐泾北城欣沁苑,34602元/m2,16套在售二手房,https://sh.lianjia.com/xiaoqu/5011000018789/,2014年建成 ,板楼,1.1至1.25元/平米/月,暂无信息,暂无信息,48,2795户
20191030,青浦,华新,瑞和明庭,33067元/m2,18套在售二手房,https://sh.lianjia.com/xiaoqu/5011000000038/,2014年建成 ,板楼,1.1至1.24元/平米/月,上海捷艾尔物业管理有限,暂无信息,42,2588户
20191030,青浦,华新,梦里水乡,24865元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000013067/,2007年建成 ,板楼,0.49元/平米/月,新昌,上海华新昌宏城建开发有限公司,68,750户
20191030,青浦,华新,瑞和锦庭-东区,31552元/m2,14套在售二手房,https://sh.lianjia.com/xiaoqu/5011102207487/,2013年建成 ,板楼,1.17元/平米/月,暂无信息,暂无信息,26,1297户
20191030,青浦,华新,西郊半岛名苑,33610元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000001121/,2013年建成 ,板楼,2元/平米/月,上海农工商旺都物业管理有限,上海农工商房地产置业有限公司,74,2557户
20191030,青浦,华新,瑞和锦庭-西区,31521元/m2,13套在售二手房,https://sh.lianjia.com/xiaoqu/509977363956098/,2013年建成 ,板楼,1.1至1.2元/平米/月,暂无信息,暂无信息,25,1458户
20191030,青浦,华新,新丰公寓,30589元/m2,27套在售二手房,https://sh.lianjia.com/xiaoqu/5011000020015/,2014年建成 ,板楼,1.1元/平米/月,暂无信息,暂无信息,22,1356户
20191030,青浦,华新,新华联奥莱悦府,52024元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5014961294192203/,2016年建成 ,板楼,2.8至4.5元/平米/月,北京悦豪物业管理有限,上海新华联房地产开发有限公司,44,487户
20191030,青浦,华新,三友星墅(公寓),38091元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000016685/,2006年建成 ,板楼,2.5元/平米/月,上海青房物业有限,上海三友房地产有限公司,59,418户
20191030,青浦,华新,金瑞苑,30034元/m2,6套在售二手房,https://sh.lianjia.com/xiaoqu/509821540319384/,2012年建成 ,板楼,1.1元/平米/月,暂无信息,暂无信息,16,1045户
20191030,青浦,华新,凤都大楼,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/509821540319308/,1995年建成 ,未知,暂无信息,暂无信息,暂无信息,2,71户
20191030,青浦,华新,凤星路1096号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970475926252/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,青浦,华新,新苗路147号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970630066183/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,青浦,华新,凤星路1531号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5016389506370458/,1989年建成 ,未知,暂无信息,暂无信息,暂无信息,1,6户
20191030,青浦,华新,凤溪街33号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5016389495337599/,1997年建成 ,板楼,暂无信息,暂无信息,暂无信息,1,12户
20191030,青浦,华新,华富街252号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970706350711/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
