20191030,青浦,金泽,威尼斯花园,30074元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000015540/,1990年建成 ,板楼,1元/平米/月,自主,上海南光联合房地产有限公司,163,163户
20191030,青浦,金泽,海图公寓,13723元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000009459/,1995年建成 ,板楼,1.5元/平米/月,暂无信息,上海商欣建筑房产实业公司,6,123户
20191030,青浦,金泽,商华新村,15288元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000010813/,1997年建成 ,板楼,暂无信息,暂无信息,暂无信息,12,214户
20191030,青浦,金泽,金华新村(青浦),16486元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011102207064/,1994年建成 ,板楼,0.6元/平米/月,暂无信息,暂无信息,26,336户
20191030,青浦,金泽,上塘街10弄,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/509977363955761/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,2户
20191030,青浦,金泽,上塘街307号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5020036001789979/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,青浦,金泽,商蔡路南26号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5016389501103419/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,青浦,金泽,练西公路2756弄,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5016389398891325/,2010年建成 ,板楼,暂无信息,暂无信息,暂无信息,1,12户
20191030,青浦,金泽,银信大楼,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5016389543047191/,1980年建成 ,未知,暂无信息,暂无信息,暂无信息,1,10户
20191030,青浦,金泽,商欣新村,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5020021734091854/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,3,22户
20191030,青浦,金泽,淀山湖别墅,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000011803/,2006年建成 ,板楼,暂无信息,暂无信息,暂无信息,2,4户
20191030,青浦,金泽,上塘街253弄,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5020031111171679/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,青浦,金泽,北胜浜街74弄,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5020031115365261/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,青浦,金泽,培育路125弄,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000019600/,2006年建成 ,板楼,暂无信息,暂无信息,暂无信息,29,240户
20191030,青浦,金泽,下塘街13弄,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5020028099539344/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,青浦,金泽,金泽上塘街,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000004750/,1995年建成 ,未知,暂无信息,暂无信息,暂无信息,3,4户
20191030,青浦,金泽,丰泽湾花园别墅,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000016542/,2000年建成 ,板楼,暂无信息,暂无信息,暂无信息,24,26户
20191030,青浦,金泽,金溪路258弄,17987元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000019937/,2001年建成 ,板楼,暂无信息,暂无信息,暂无信息,4,29户
20191030,青浦,金泽,金溪路267弄,21930元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000019938/,2003年建成 ,板楼,暂无信息,暂无信息,暂无信息,6,170户
20191030,青浦,金泽,涵璧湾,38942元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000013203/,2011年建成 ,板楼,8.8元/平米/月,上海紫泰物业管理有限,上海青晨房地产开发有限公司,41,41户
20191030,青浦,金泽,下塘街120弄,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5020036001790816/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,青浦,金泽,金溪三村,18750元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000019439/,1992年建成 ,板楼,暂无信息,暂无信息,暂无信息,10,212户
20191030,青浦,金泽,楠林水岸别墅,20746元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000009390/,1997年建成 ,板楼,4元/平米/月,上海万登管理有限,上海楠坤置业有限公司,38,38户
20191030,青浦,金泽,淀滨宝岛别墅,25883元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000012546/,1994年建成 ,板楼,暂无信息,暂无信息,暂无信息,47,47户
20191030,青浦,金泽,国际华城,27313元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000005389/,1994年建成 ,板楼,5.5元/平米/月,暂无信息,暂无信息,37,238户
20191030,青浦,金泽,莲花小区,17638元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000013814/,2000年建成 ,板楼,0.6元/平米/月,暂无信息,暂无信息,38,115户
20191030,青浦,金泽,金溪路158弄,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5020024144650078/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,2,2户
