20191030,青浦,练塘,旭辉朗悦庭,20203元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000010633/,2014年建成 ,板楼,1.68元/平米/月,上海永升物业管理有限,上海旭煜置业有限公司,33,634户
20191030,青浦,练塘,朱枫公路3491号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5016389501103353/,暂无信息 ,板楼,暂无信息,暂无信息,暂无信息,1,24户
20191030,青浦,练塘,朱枫公路3443号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970691146605/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,2户
20191030,青浦,练塘,欧风路161弄,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5016389506370190/,2001年建成 ,板楼,暂无信息,暂无信息,暂无信息,4,32户
20191030,青浦,练塘,前进街116弄,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011102206771/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,5户
20191030,青浦,练塘,东风街105弄,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5020031361777760/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,青浦,练塘,前进街240弄,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000018773/,暂无信息 ,板楼,暂无信息,暂无信息,暂无信息,2,40户
20191030,青浦,练塘,东风街136弄,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5016389506370376/,2000年建成 ,未知,暂无信息,暂无信息,暂无信息,1,6户
20191030,青浦,练塘,前进街168弄,14145元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5016389495337887/,1997年建成 ,板楼,暂无信息,暂无信息,暂无信息,1,10户
20191030,青浦,练塘,蒸裕路57弄,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5016389495337961/,1998年建成 ,板楼,暂无信息,暂无信息,暂无信息,2,10户
20191030,青浦,练塘,练北新村,16040元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000000044/,1989年建成 ,板楼,暂无信息,暂无信息,暂无信息,52,358户
20191030,青浦,练塘,章练塘路958弄,15960元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5016389506369904/,2015年建成 ,板楼,暂无信息,暂无信息,暂无信息,40,466户
20191030,青浦,练塘,湾塘新村,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000009817/,1983年建成 ,板楼,0.4至1.8元/平米/月,上海万科物业管理有限,上海万科房地产集团有限公司,23,245户
20191030,青浦,练塘,练民新村,16378元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000001229/,2011年建成 ,板楼,0.5元/平米/月,暂无信息,暂无信息,90,900户
