20191030,青浦,香花桥,都汇华庭,22614元/m2,23套在售二手房,https://sh.lianjia.com/xiaoqu/5011000015041/,2005年建成 ,塔楼/板楼,1.5元/平米/月,上海纺原物业有限,上海利峰乐置业有限公司,44,707户
20191030,青浦,香花桥,葛洲坝绿城玉兰花园,38582元/m2,4套在售二手房,https://sh.lianjia.com/xiaoqu/5011102207287/,2016年建成 ,板楼,3.8元/平米/月,绿城,葛洲坝（上海）房地产开发有限公司,159,1115户
20191030,青浦,香花桥,民惠佳苑,17236元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000004528/,2012年建成 ,板楼,0.6元/平米/月,自主,上海浦西房地产开发有限公司,711,1414户
20191030,青浦,香花桥,梦盈花园别墅,22235元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000003113/,1990年建成 ,板楼,2.1元/平米/月,暂无信息,暂无信息,86,87户
20191030,青浦,香花桥,香花新村,23010元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000011131/,1990年建成 ,板楼,0.8元/平米/月,自主,上海现晋房地产开发有限公司,66,514户
20191030,青浦,香花桥,香花中路4号,19380元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5016389398891315/,1999年建成 ,未知,暂无信息,暂无信息,暂无信息,1,10户
20191030,青浦,香花桥,向阳河路659弄,17992元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/509977363956257/,1990年建成 ,板楼,暂无信息,无,暂无信息,5,50户
20191030,青浦,香花桥,外青松路666弄,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000007285/,2005年建成 ,板楼,暂无信息,暂无信息,暂无信息,1,1户
20191030,青浦,香花桥,普光路177号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/509821540058057/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,青浦,香花桥,清河湾路1150号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011102207399/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,390户
20191030,青浦,香花桥,新桥路719号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5015849176182894/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
