20191030,黄浦,董家渡,明日星城(一期),89565元/m2,16套在售二手房,https://sh.lianjia.com/xiaoqu/5011000016976/,2000年建成 ,板楼,1.98至2元/平米/月,上海海鸿福船物业管理有限,上海东方金马房产发展有限公司,19,1369户
20191030,黄浦,董家渡,浩城华苑,89577元/m2,5套在售二手房,https://sh.lianjia.com/xiaoqu/5011000015917/,2003年建成 ,板楼,1.5元/平米/月,上海齐锦物业有限,上海浩城置业有限公司,7,414户
20191030,黄浦,董家渡,阳光翠竹苑,87595元/m2,9套在售二手房,https://sh.lianjia.com/xiaoqu/5011000018033/,2004年建成 ,塔楼/板楼,1.7元/平米/月,上海海鸿福船物业管理有限,上海临江房地产开发经营有限公司,8,785户
20191030,黄浦,董家渡,薛家浜路242弄,暂无,1套在售二手房,https://sh.lianjia.com/xiaoqu/5011000007609/,1985年建成 ,板楼,0.8元/平米/月,上海锦南物业经营有限,上海上实房地产开发有限公司,3,145户
20191030,黄浦,董家渡,长峰馨园,97463元/m2,6套在售二手房,https://sh.lianjia.com/xiaoqu/5011000017870/,2006年建成 ,板楼,2元/平米/月,上海长峰物业管理有限,上海南峰房地产开发有限公司,9,619户
20191030,黄浦,董家渡,阳光公寓(黄浦),83904元/m2,4套在售二手房,https://sh.lianjia.com/xiaoqu/5011000016041/,1998年建成 ,塔楼/板楼,1.35元/平米/月,上海新盛元物业管理有限,上海临江房地产开发经营有限公司,3,388户
20191030,黄浦,董家渡,金南新苑,57469元/m2,5套在售二手房,https://sh.lianjia.com/xiaoqu/5011000017145/,2001年建成 ,塔楼,1.5至2.7元/平米/月,上海金芝置业有限,上海金芝置业有限公司,2,330户
20191030,黄浦,董家渡,外滩公馆,111586元/m2,4套在售二手房,https://sh.lianjia.com/xiaoqu/5011000001159/,2015年建成 ,板楼,4.9元/平米/月,上海新盛元物业管理有限,上海南房(集团)有限公司,2,131户
20191030,黄浦,董家渡,南花苑,84830元/m2,5套在售二手房,https://sh.lianjia.com/xiaoqu/5011000017694/,1997年建成 ,板楼,1.3元/平米/月,上海新东门物业管理有限,上海华森置业有限公司,33,399户
20191030,黄浦,董家渡,秀水苑(黄浦),72914元/m2,4套在售二手房,https://sh.lianjia.com/xiaoqu/5011000012767/,1998年建成 ,塔楼,1.3元/平米/月,上海华南物业管理有限,上海汇泰房地产发展有限公司,2,336户
20191030,黄浦,董家渡,复兴东路310-354号,84783元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5020028775152449/,1988年建成 ,板楼,暂无信息,暂无信息,南房集团,5,109户
20191030,黄浦,董家渡,阳光里(黄浦),86707元/m2,2套在售二手房,https://sh.lianjia.com/xiaoqu/5011000015334/,2005年建成 ,板楼,1.7元/平米/月,上海临江物业管理有限,上海临江房地产开发经营有限公司,5,424户
20191030,黄浦,董家渡,和顺街26弄,123839元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000005316/,1990年建成 ,板楼,暂无信息,暂无信息,上海置业,10,139户
20191030,黄浦,董家渡,光启路105号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5020032737280800/,1992年建成 ,板楼,暂无信息,暂无信息,上海豫园,1,54户
20191030,黄浦,董家渡,灵济街44弄,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000003734/,1991年建成 ,未知,暂无信息,暂无信息,暂无信息,4,4户
20191030,黄浦,董家渡,光启南路131弄,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5020033618372358/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,黄浦,董家渡,南门大厦,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000013113/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,7户
20191030,黄浦,董家渡,中华路574号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000007612/,暂无信息 ,板楼,暂无信息,暂无信息,暂无信息,1,24户
20191030,黄浦,董家渡,光启南路201号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/509821540058103/,1972年建成 ,板楼,暂无信息,暂无信息,暂无信息,1,30户
20191030,黄浦,董家渡,陆家浜路667号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012332163673333/,暂无信息 ,板楼,暂无信息,暂无信息,暂无信息,1,2户
20191030,黄浦,董家渡,光启南路103号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000008119/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,黄浦,董家渡,东江阴街184号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000005227/,1985年建成 ,板楼,暂无信息,暂无信息,南房集团,1,24户
20191030,黄浦,董家渡,蓬莱路6弄,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000007197/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,黄浦,董家渡,乔家路112弄,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000000522/,1958年建成 ,板楼,暂无信息,上置,南房集团,5,156户
20191030,黄浦,董家渡,大夫坊100号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000002235/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,黄浦,董家渡,小石桥街37号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000002051/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,黄浦,董家渡,光启南路85弄,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000004313/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,黄浦,董家渡,桑园街38弄,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000000221/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,2,3户
20191030,黄浦,董家渡,江阴街31号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970554044428/,1990年建成 ,塔楼,1元/平米/月,暂无信息,南房集团,1,1户
20191030,黄浦,董家渡,江阴街2、4号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5020025269227076/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,黄浦,董家渡,光启南路332弄,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5020030353825018/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,黄浦,董家渡,中华路353弄,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5020027321149728/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,黄浦,董家渡,凝和路180号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5020026400126588/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,黄浦,董家渡,江阴路56号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970554044448/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,2户
20191030,黄浦,董家渡,多稼路220号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970599657923/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,4户
20191030,黄浦,董家渡,复兴东路578号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/509821540319413/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,黄浦,董家渡,望云路63弄,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5020029380409562/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,黄浦,董家渡,鸳鸯厅弄,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5013943863806281/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,2,2户
20191030,黄浦,董家渡,和顺街38号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5014373516225753/,1990年建成 ,板楼,暂无信息,暂无信息,上海置业,1,20户
20191030,黄浦,董家渡,东江阴街53号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5016141318894078/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,黄浦,董家渡,陆家浜路527号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970584453158/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,黄浦,董家渡,陆家浜路365号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970584453151/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,黄浦,董家渡,陆家浜路525号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970584453157/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,黄浦,董家渡,中华路928号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970459410565/,1998年建成 ,塔板结合,暂无信息,暂无信息,南房集团,1,2户
20191030,黄浦,董家渡,中华路路608号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970459410571/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,黄浦,董家渡,多稼路222号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970599657925/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,黄浦,董家渡,蓬莱路15号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5015123262508861/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,2户
20191030,黄浦,董家渡,西唐家弄73弄,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5016997412253361/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,黄浦,董家渡,火腿弄12号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5020023346288605/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,黄浦,董家渡,中华路860号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970459410556/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,2户
20191030,黄浦,董家渡,梅家街31号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5020027306468814/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,黄浦,董家渡,光启南路216号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5013557561568337/,暂无信息 ,板楼,暂无信息,暂无信息,暂无信息,1,2户
20191030,黄浦,董家渡,中华路930号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970459410566/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,2户
20191030,黄浦,董家渡,中华路922号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970459410563/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,黄浦,董家渡,董家渡路494号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5010949180273029/,1959年建成 ,板楼,1元/平米/月,暂无信息,无,1,1户
20191030,黄浦,董家渡,天灯弄86号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5010586131280489/,暂无信息 ,板楼,暂无信息,暂无信息,暂无信息,1,1户
20191030,黄浦,董家渡,江阴街44号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012246709973721/,暂无信息 ,板楼,暂无信息,暂无信息,暂无信息,1,1户
20191030,黄浦,董家渡,天灯小区,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000000071/,1984年建成 ,板楼,暂无信息,上海新东门物业管理有限,无,3,11户
20191030,黄浦,董家渡,东江阴街211弄,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000009496/,1959年建成 ,塔板结合,1元/平米/月,上海临江物业管理有限,上海临江房地产开发经营有限公司,2,2户
20191030,黄浦,董家渡,艾家弄24号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5020038303944097/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,黄浦,董家渡,南门大厦,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000013113/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,7户
