title,price,address,size,fangxiang,format,type,time,tag
整租·冠生园路237弄1室1厅南,3900 元/月,徐汇-康健-冠生园路237弄,45㎡,南,1室1厅1卫,贝壳优选,6天前维护,新上近地铁随时看房
整租·绿园一村2室1厅南/北,4900 元/月,长宁-北新泾-绿园一村,56㎡,南北,2室1厅1卫,贝壳优选,1天前维护,近地铁随时看房
整租·长桥一村1室0厅南,3500 元/月,徐汇-长桥-长桥一村,39㎡,南,1室0厅1卫,贝壳优选,7天前维护,随时看房
整租·花苑村紫竹园1室1厅南,4100 元/月,徐汇-康健-花苑村紫竹园,42㎡,南,1室1厅1卫,贝壳优选,7天前维护,随时看房
整租·华松小区1室1厅南,4700 元/月,长宁-北新泾-华松小区,55㎡,南,1室1厅1卫,贝壳优选,7天前维护,近地铁随时看房
整租·长桥新村1室0厅南,3600 元/月,徐汇-长桥-长桥新村,36㎡,南,1室0厅1卫,贝壳优选,7天前维护,随时看房
整租·桃源新村1室1厅北,5800 元/月,黄浦-老西门-桃源新村,30㎡,北,1室1厅1卫,贝壳优选,7天前维护,近地铁精装随时看房
整租·虹霞小区1室0厅南,5000 元/月,长宁-仙霞-虹霞小区,33㎡,南,1室0厅1卫,贝壳优选,4天前维护,新上近地铁随时看房
整租·虹桥机场新村2室1厅南,4900 元/月,长宁-西郊-虹桥机场新村,52㎡,南,2室1厅1卫,贝壳优选,7天前维护,精装随时看房
整租·新泾六村1室0厅南,4300 元/月,长宁-北新泾-新泾六村,35㎡,南,1室0厅1卫,贝壳优选,7天前维护,近地铁随时看房
整租·汇成五村2室1厅南/北,4500 元/月,徐汇-上海南站-汇成五村,59㎡,南北,2室1厅1卫,贝壳优选,1天前维护,新上随时看房
整租·绿园十二村1室1厅南/北,4500 元/月,长宁-西郊-绿园十二村,46㎡,南北,1室1厅1卫,贝壳优选,7天前维护,随时看房
整租·花苑茶花园1室0厅南,4100 元/月,徐汇-康健-花苑茶花园,34㎡,南,1室0厅1卫,贝壳优选,7天前维护,随时看房
整租·虹旭小区2室1厅南,6500 元/月,长宁-虹桥-虹旭小区,53㎡,南,2室1厅1卫,贝壳优选,3天前维护,新上近地铁随时看房
整租·田林十二村1室1厅南,4800 元/月,徐汇-田林-田林十二村,34㎡,南,1室1厅1卫,贝壳优选,1天前维护,新上近地铁精装随时看房
整租·番南小区1室1厅南,4800 元/月,徐汇-徐家汇-番南小区,32㎡,南,1室1厅1卫,贝壳优选,5天前维护,新上近地铁精装随时看房
整租·朗诗未来树3室2厅南,3300 元/月,浦东-祝桥-朗诗未来树,79㎡,南,3室2厅1卫,贝壳优选,5天前维护,新上精装随时看房
整租·田林十三村1室0厅南,4600 元/月,徐汇-田林-田林十三村,30㎡,南,1室0厅1卫,贝壳优选,1天前维护,新上近地铁精装随时看房
整租·长虹公寓2室1厅南,6500 元/月,长宁-仙霞-长虹公寓,65㎡,南,2室1厅1卫,贝壳优选,3天前维护,新上精装随时看房
整租·馨宁公寓1室0厅南,3900 元/月,徐汇-华泾-馨宁公寓,42㎡,南,1室0厅1卫,贝壳优选,7天前维护,随时看房
整租·中虹家园1室1厅南,3500 元/月,浦东-曹路-中虹家园,52㎡,南,1室1厅1卫,贝壳优选,4天前维护,新上随时看房
整租·名人花苑2室1厅南,4450 元/月,徐汇-华泾-名人花苑,76㎡,南,2室1厅1卫,贝壳优选,3天前维护,随时看房
整租·绿地时代名邸2室2厅南,2650 元/月,青浦-白鹤-绿地时代名邸,84㎡,南,2室2厅1卫,贝壳优选,7天前维护,近地铁精装随时看房
整租·君悦静安1室1厅南,7080 元/月,静安-曹家渡-君悦静安,49㎡,南,1室1厅1卫,贝壳优选,7天前维护,近地铁精装随时看房
整租·大木桥路450弄1室0厅南,4990 元/月,徐汇-斜土路-大木桥路450弄,31㎡,南,1室0厅1卫,贝壳优选,7天前维护,近地铁精装随时看房
整租·西成里1室1厅南,6600 元/月,黄浦-人民广场-西成里,35㎡,南,1室1厅1卫,贝壳优选,3天前维护,近地铁精装随时看房
整租·乐山四五村2室1厅南,5900 元/月,徐汇-徐家汇-乐山四五村,48㎡,南,2室1厅1卫,贝壳优选,8天前维护,近地铁随时看房
整租·君悦静安1室1厅南,7280 元/月,静安-曹家渡-君悦静安,55㎡,南,1室1厅1卫,贝壳优选,7天前维护,近地铁精装随时看房
整租·田林六村2室0厅南,4700 元/月,徐汇-田林-田林六村,41㎡,南,2室0厅1卫,贝壳优选,7天前维护,近地铁随时看房
整租·双柏小区1室1厅南,2400 元/月,闵行-吴泾-双柏小区,39㎡,南,1室1厅1卫,贝壳优选,1天前维护,随时看房
整租·冠生园路237弄1室1厅南,3900 元/月,徐汇-康健-冠生园路237弄,45㎡,南,1室1厅1卫,贝壳优选,6天前维护,新上近地铁随时看房
整租·长桥一村1室0厅南,3500 元/月,徐汇-长桥-长桥一村,39㎡,南,1室0厅1卫,贝壳优选,7天前维护,随时看房
整租·绿园一村2室1厅南/北,4900 元/月,长宁-北新泾-绿园一村,56㎡,南北,2室1厅1卫,贝壳优选,1天前维护,近地铁随时看房
整租·花苑村紫竹园1室1厅南,4100 元/月,徐汇-康健-花苑村紫竹园,42㎡,南,1室1厅1卫,贝壳优选,7天前维护,随时看房
整租·华松小区1室1厅南,4700 元/月,长宁-北新泾-华松小区,55㎡,南,1室1厅1卫,贝壳优选,7天前维护,近地铁随时看房
整租·长桥新村1室0厅南,3600 元/月,徐汇-长桥-长桥新村,36㎡,南,1室0厅1卫,贝壳优选,7天前维护,随时看房
整租·桃源新村1室1厅北,5800 元/月,黄浦-老西门-桃源新村,30㎡,北,1室1厅1卫,贝壳优选,7天前维护,近地铁精装随时看房
整租·虹霞小区1室0厅南,5000 元/月,长宁-仙霞-虹霞小区,33㎡,南,1室0厅1卫,贝壳优选,4天前维护,新上近地铁随时看房
整租·虹桥机场新村2室1厅南,4900 元/月,长宁-西郊-虹桥机场新村,52㎡,南,2室1厅1卫,贝壳优选,7天前维护,精装随时看房
整租·新泾六村1室0厅南,4300 元/月,长宁-北新泾-新泾六村,35㎡,南,1室0厅1卫,贝壳优选,7天前维护,近地铁随时看房
整租·汇成五村2室1厅南/北,4500 元/月,徐汇-上海南站-汇成五村,59㎡,南北,2室1厅1卫,贝壳优选,1天前维护,新上随时看房
整租·绿园十二村1室1厅南/北,4500 元/月,长宁-西郊-绿园十二村,46㎡,南北,1室1厅1卫,贝壳优选,7天前维护,随时看房
整租·花苑茶花园1室0厅南,4100 元/月,徐汇-康健-花苑茶花园,34㎡,南,1室0厅1卫,贝壳优选,7天前维护,随时看房
整租·虹旭小区2室1厅南,6500 元/月,长宁-虹桥-虹旭小区,53㎡,南,2室1厅1卫,贝壳优选,3天前维护,新上近地铁随时看房
整租·田林十二村1室1厅南,4800 元/月,徐汇-田林-田林十二村,34㎡,南,1室1厅1卫,贝壳优选,1天前维护,新上近地铁精装随时看房
整租·番南小区1室1厅南,4800 元/月,徐汇-徐家汇-番南小区,32㎡,南,1室1厅1卫,贝壳优选,5天前维护,新上近地铁精装随时看房
整租·朗诗未来树3室2厅南,3300 元/月,浦东-祝桥-朗诗未来树,79㎡,南,3室2厅1卫,贝壳优选,5天前维护,新上精装随时看房
整租·田林十三村1室0厅南,4600 元/月,徐汇-田林-田林十三村,30㎡,南,1室0厅1卫,贝壳优选,1天前维护,新上近地铁精装随时看房
整租·长虹公寓2室1厅南,6500 元/月,长宁-仙霞-长虹公寓,65㎡,南,2室1厅1卫,贝壳优选,3天前维护,新上精装随时看房
整租·馨宁公寓1室0厅南,3900 元/月,徐汇-华泾-馨宁公寓,42㎡,南,1室0厅1卫,贝壳优选,7天前维护,随时看房
整租·中虹家园1室1厅南,3500 元/月,浦东-曹路-中虹家园,52㎡,南,1室1厅1卫,贝壳优选,4天前维护,新上随时看房
整租·大木桥路450弄1室0厅南,4990 元/月,徐汇-斜土路-大木桥路450弄,31㎡,南,1室0厅1卫,贝壳优选,7天前维护,近地铁精装随时看房
整租·绿地时代名邸2室2厅南,2650 元/月,青浦-白鹤-绿地时代名邸,84㎡,南,2室2厅1卫,贝壳优选,7天前维护,近地铁精装随时看房
整租·名人花苑2室1厅南,4450 元/月,徐汇-华泾-名人花苑,76㎡,南,2室1厅1卫,贝壳优选,3天前维护,随时看房
整租·西成里1室1厅南,6600 元/月,黄浦-人民广场-西成里,35㎡,南,1室1厅1卫,贝壳优选,3天前维护,近地铁精装随时看房
整租·君悦静安1室1厅南,7080 元/月,静安-曹家渡-君悦静安,49㎡,南,1室1厅1卫,贝壳优选,7天前维护,近地铁精装随时看房
整租·乐山四五村2室1厅南,5900 元/月,徐汇-徐家汇-乐山四五村,48㎡,南,2室1厅1卫,贝壳优选,8天前维护,近地铁随时看房
整租·君悦静安1室1厅南,7280 元/月,静安-曹家渡-君悦静安,55㎡,南,1室1厅1卫,贝壳优选,7天前维护,近地铁精装随时看房
整租·田林六村2室0厅南,4700 元/月,徐汇-田林-田林六村,41㎡,南,2室0厅1卫,贝壳优选,7天前维护,近地铁随时看房
整租·双柏小区1室1厅南,2400 元/月,闵行-吴泾-双柏小区,39㎡,南,1室1厅1卫,贝壳优选,1天前维护,随时看房
整租·乐山二村1室1厅南,4999 元/月,徐汇-徐家汇-乐山二村,33㎡,南,1室1厅1卫,贝壳优选,7天前维护,近地铁精装随时看房
整租·昌五小区1室1厅南,3600 元/月,浦东-世博-昌五小区,38㎡,南,1室1厅1卫,贝壳优选,7天前维护,近地铁随时看房
整租·金虹苑小区2室1厅南,7000 元/月,长宁-西郊-金虹苑小区,65㎡,南,2室1厅1卫,贝壳优选,7天前维护,精装随时看房
整租·舒乐小区2室1厅南,4500 元/月,徐汇-华东理工-舒乐小区,56㎡,南,2室1厅1卫,贝壳优选,7天前维护,随时看房
整租·新泾七村2室1厅南,5400 元/月,长宁-北新泾-新泾七村,46㎡,南,2室1厅1卫,贝壳优选,1天前维护,近地铁随时看房
整租·杜鹃园2室1厅南,5300 元/月,徐汇-康健-杜鹃园,64㎡,南,2室1厅1卫,贝壳优选,7天前维护,随时看房
整租·虹梅小区1室1厅南,5200 元/月,徐汇-漕河泾-虹梅小区,41㎡,南,1室1厅1卫,贝壳优选,7天前维护,近地铁随时看房
整租·君悦静安1室0厅西南,5880 元/月,静安-曹家渡-君悦静安,35㎡,西南,1室0厅1卫,贝壳优选,7天前维护,近地铁精装随时看房
